,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.51,1.08,0.63,0.62,0.52,0.59,0.93,0.72,0.83,0.75,0.82,0.33,0.99,0.98,0.61,0.9
e_1,0.75,2.6,0.6,0.82,0.5,0.6,0.96,0.94,1.67,0.94,1.03,1.01,0.86,0.91,0.58,0.81
d_1,0.7,0.64,2.72,0.49,0.6,0.57,1.03,0.85,0.47,1.73,1.11,1.14,1.07,0.94,1.18,1.09
c_1,0.55,0.58,0.65,2.97,1.36,0.62,0.73,0.77,0.85,0.39,0.79,0.93,0.83,0.86,0.84,0.94
b_1,0.62,0.55,0.61,0.7,3.31,1.29,0.82,0.77,0.95,0.95,0.47,1.07,1.0,0.66,1.03,0.87
a_1,0.74,0.69,0.73,0.62,0.56,4.31,0.95,1.23,0.75,0.84,0.85,0.78,1.01,0.62,0.9,0.86
h_1,1.15,0.7,0.79,0.85,0.66,0.61,2.53,1.47,1.07,1.07,1.22,1.2,0.78,1.05,1.36,1.59
g_1,0.65,0.79,1.14,0.79,0.74,0.59,1.14,3.24,1.0,1.03,1.31,1.92,0.93,1.32,1.23,0.98
d_0,0.79,0.8,0.51,1.68,0.75,0.69,0.93,1.13,2.08,0.7,1.01,1.04,1.21,1.03,1.2,1.03
c_0,0.84,0.77,0.9,0.62,0.62,0.67,1.26,1.13,1.2,1.84,2.27,1.2,1.45,1.36,1.47,1.41
b_0,0.93,0.73,0.92,0.79,0.61,0.49,1.19,1.3,1.1,1.04,2.42,1.24,1.29,2.49,1.4,1.18
f_0,0.63,0.6,0.94,0.85,0.83,0.92,1.04,1.16,1.18,1.35,1.03,2.57,1.19,1.31,2.48,1.32
h_0,1.11,0.71,0.95,0.79,0.72,0.71,0.77,1.29,0.98,1.09,1.25,1.09,0.78,1.43,1.02,1.77
a_0,0.71,0.8,0.93,0.84,0.94,0.36,1.2,1.43,1.15,1.27,1.28,1.42,1.26,3.05,1.49,1.21
e_0,0.79,0.42,0.92,0.98,0.87,0.81,1.14,1.21,1.1,1.22,1.44,1.25,1.67,1.19,2.92,1.44
g_0,0.68,0.69,1.44,0.82,0.78,0.73,0.98,0.65,0.96,1.21,1.11,1.66,1.17,1.32,1.29,0.73
