,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.11,1.14,1.09,1.72,2.89,20.24,24.79,23.96,39.55,41.8,40.48,60.62,82.87,81.7,73.97
e_1,0.89,1.0,0.81,1.32,1.74,3.03,22.01,36.51,32.49,28.56,41.77,42.45,72.5,82.4,98.97,89.79
f_1,0.87,1.22,1.0,1.07,1.43,2.99,14.38,24.41,29.27,24.4,30.87,32.12,44.63,68.37,58.55,69.17
c_1,0.92,0.77,0.94,1.0,1.89,2.25,15.89,16.65,24.14,21.59,30.54,26.96,59.38,64.17,65.27,85.99
b_1,0.59,0.58,0.69,0.53,1.0,2.3,12.78,13.68,16.32,19.14,21.15,28.68,36.94,41.99,54.51,56.7
a_1,0.34,0.33,0.34,0.44,0.43,1.0,8.47,9.78,11.85,10.97,15.39,17.04,26.48,28.36,36.19,30.85
h_1,0.05,0.05,0.07,0.06,0.08,0.12,1.0,1.31,2.03,1.29,1.9,1.91,3.37,3.97,3.88,4.79
d_0,0.04,0.03,0.04,0.06,0.07,0.11,0.77,1.0,1.06,0.88,1.33,1.46,2.35,2.43,2.87,3.32
g_1,0.04,0.03,0.03,0.04,0.06,0.08,0.5,0.95,1.0,0.96,1.56,1.42,2.12,3.06,3.11,2.46
c_0,0.03,0.04,0.04,0.05,0.05,0.08,0.8,1.18,1.07,1.0,1.4,2.28,2.42,2.89,3.19,3.26
f_0,0.02,0.02,0.03,0.03,0.05,0.07,0.53,0.69,0.67,0.73,1.0,1.06,1.72,1.77,2.97,1.66
b_0,0.02,0.02,0.03,0.04,0.03,0.06,0.51,0.76,0.7,0.47,0.98,1.0,1.77,2.98,2.22,1.94
h_0,0.02,0.01,0.02,0.02,0.03,0.04,0.29,0.41,0.48,0.41,0.57,0.57,1.0,1.07,1.21,1.43
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.27,0.39,0.32,0.37,0.56,0.34,0.92,1.0,1.04,1.09
e_0,0.01,0.01,0.02,0.01,0.02,0.03,0.26,0.36,0.3,0.33,0.32,0.47,0.8,0.97,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.29,0.4,0.31,0.59,0.53,0.71,0.93,0.94,1.0
