,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,1.88,1.03,1.93,1.86,1.56,0.55,0.36,0.57,0.4,0.34,0.39,0.26,0.35,0.75,0.34
d_1,2.41,0.42,1.77,1.81,1.6,1.59,0.44,0.84,0.31,0.29,0.32,0.32,0.21,0.31,0.31,0.16
f_1,1.75,1.58,0.42,1.67,1.59,1.59,0.36,0.36,0.64,0.33,0.35,0.77,0.21,0.33,0.33,0.24
c_1,1.34,2.2,1.88,0.41,2.1,1.61,0.53,0.2,0.49,0.82,0.33,0.37,0.23,0.3,0.4,0.29
b_1,1.98,2.02,1.91,1.01,0.39,2.27,0.58,0.47,0.65,0.53,0.92,0.43,0.39,0.4,0.45,0.3
a_1,2.9,2.58,2.67,2.51,1.02,0.32,0.72,0.55,0.72,0.6,0.73,0.48,0.35,1.38,0.52,0.38
h_1,2.53,2.69,3.2,2.64,2.75,2.57,0.33,0.57,0.79,0.6,0.55,0.51,0.66,0.49,0.48,0.38
d_0,1.69,5.09,3.11,3.14,3.67,3.75,1.07,0.37,0.99,0.61,0.6,0.66,0.51,0.61,0.56,0.49
g_1,3.64,3.03,3.02,3.34,2.94,2.79,0.75,0.7,0.29,0.63,0.66,0.55,0.34,0.53,0.57,0.68
c_0,3.15,1.7,3.77,7.38,3.4,2.73,1.09,1.11,0.98,0.35,0.69,0.66,0.52,0.63,0.57,0.39
b_0,3.23,2.7,3.31,5.06,8.12,3.79,0.85,0.65,0.96,0.38,0.35,0.61,0.58,0.68,0.58,0.49
f_0,3.33,2.88,6.99,3.73,3.51,3.49,1.14,0.91,0.5,0.69,0.62,0.33,0.5,0.71,0.73,0.37
h_0,3.69,3.5,3.74,4.47,4.16,3.52,1.9,0.82,1.38,0.67,0.66,0.88,0.88,0.61,0.6,0.55
a_0,3.49,4.21,3.6,4.12,7.02,7.13,1.08,0.84,1.42,0.82,0.43,0.83,0.61,0.34,0.71,0.56
e_0,4.81,3.94,6.21,4.47,4.45,3.83,1.4,0.89,1.08,0.79,0.81,0.39,0.68,0.76,0.3,0.51
g_0,4.39,3.32,4.8,4.65,4.59,4.13,1.05,0.97,1.65,0.94,0.95,0.91,0.43,0.99,0.66,1.01
