,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.49,1.01,0.61,0.74,0.64,0.45,0.73,0.79,0.74,0.65,0.76,0.37,0.72,0.51,0.48,0.7
e_1,0.72,1.51,0.62,0.79,0.54,0.59,0.84,1.32,0.72,0.83,0.67,0.82,0.85,0.71,0.64,0.78
d_1,0.84,0.74,1.54,0.5,0.6,0.56,0.81,0.56,0.68,1.32,0.87,0.72,0.93,0.82,0.82,0.66
c_1,0.72,0.64,0.74,1.56,1.04,0.48,0.81,0.76,0.65,0.4,0.69,0.73,0.93,0.62,0.63,0.68
b_1,0.66,0.8,0.81,0.61,1.62,1.06,0.85,0.8,0.69,0.73,0.48,0.64,0.67,0.47,0.46,0.73
a_1,0.89,0.7,0.83,0.8,0.53,1.75,0.87,0.82,0.77,0.91,0.94,1.03,0.96,0.66,0.88,1.01
h_1,1.23,0.75,0.98,0.87,0.72,0.61,1.74,1.05,1.37,1.04,0.98,0.85,0.82,0.87,0.98,1.18
d_0,1.05,0.82,0.65,1.54,0.86,0.72,1.1,1.59,0.82,0.91,0.93,1.01,1.13,0.79,0.98,1.14
g_1,0.9,0.83,1.34,0.93,0.84,0.71,0.82,1.06,1.79,0.9,1.16,1.53,1.02,1.02,0.9,0.84
c_0,1.1,0.83,0.89,0.81,0.83,0.74,1.24,1.13,1.39,1.63,1.76,1.08,1.25,1.24,0.95,1.15
b_0,1.04,1.11,1.06,1.03,0.62,0.57,1.24,1.21,1.15,0.96,1.64,1.18,1.07,1.83,1.08,0.97
f_0,0.82,0.86,1.24,0.97,1.16,0.7,1.05,1.1,1.0,1.17,1.12,1.67,1.36,0.95,1.68,1.07
h_0,1.34,0.97,0.92,0.97,0.96,0.95,0.87,1.22,1.28,1.15,1.19,1.05,0.99,1.05,1.05,1.35
a_0,1.25,0.91,1.1,1.11,1.02,0.39,1.3,1.16,1.02,1.17,0.96,1.12,1.18,1.73,1.04,1.06
e_0,1.2,0.67,1.07,1.07,1.16,0.73,1.28,1.32,1.24,1.23,1.21,1.0,1.27,0.9,1.78,1.71
g_0,0.9,0.86,1.61,1.03,1.04,0.76,1.18,1.14,1.1,1.18,1.16,1.69,1.16,1.15,0.95,1.0
