,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.13,2.79,5.78,5.44,4.64,5.13,1.45,1.17,1.09,1.54,1.46,1.36,0.81,1.1,0.91,2.24
f_1,4.9,1.13,4.26,5.22,4.88,5.47,1.04,1.0,0.97,1.64,0.82,2.06,0.56,0.88,0.71,0.97
d_1,5.53,5.23,1.12,5.89,6.18,4.04,1.37,2.54,0.91,0.86,0.92,0.85,0.74,0.85,0.48,0.73
c_1,4.59,6.37,8.13,1.13,4.75,6.32,1.74,0.65,2.5,1.7,1.2,1.18,0.86,1.47,0.9,1.35
b_1,7.49,8.52,7.68,3.99,1.14,6.35,2.59,1.62,1.75,2.65,4.3,1.52,0.95,1.77,0.99,1.16
a_1,10.42,12.87,10.9,9.08,6.21,1.14,4.0,2.22,2.85,4.53,3.39,2.18,1.64,9.52,1.6,1.85
h_1,16.77,16.81,16.56,17.86,19.66,15.47,1.76,3.81,3.48,5.17,3.08,2.99,5.07,3.56,2.41,2.49
d_0,12.59,20.28,32.51,21.65,21.99,21.94,8.0,2.46,4.51,7.12,4.81,5.33,4.07,4.01,3.55,5.14
c_0,21.25,21.35,11.91,61.98,24.48,21.94,6.35,4.85,2.4,5.3,4.01,4.15,2.99,4.1,3.48,5.67
g_1,21.62,22.69,18.41,30.99,30.53,25.49,4.94,4.51,4.08,1.85,4.89,3.83,2.64,4.28,5.12,4.22
b_0,24.61,25.74,18.05,31.93,64.88,23.11,6.45,5.07,2.51,6.55,2.28,4.69,3.39,3.85,3.39,4.39
f_0,30.66,53.38,25.06,29.0,28.52,30.95,8.91,6.09,5.66,5.96,5.51,2.47,4.84,5.44,2.49,5.58
h_0,35.96,39.89,30.58,35.12,28.52,24.76,19.2,6.49,6.11,8.95,6.66,6.17,8.13,6.93,4.61,7.48
a_0,38.96,37.42,34.05,37.63,43.98,101.94,11.37,7.31,6.16,9.19,4.33,7.78,6.25,2.57,9.71,9.4
g_0,37.78,38.62,33.42,38.55,46.34,40.3,8.47,9.64,8.12,15.76,8.42,7.44,4.35,8.28,11.9,7.0
e_0,79.57,72.6,32.22,41.05,39.92,50.97,10.16,9.25,7.84,11.61,7.77,3.86,6.53,6.68,5.43,2.91
