,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,0.86,0.87,0.98,0.7,0.58,0.72,0.59,0.62,0.57,0.7,0.52,0.62,0.57,0.44
e_1,0.77,1.0,1.02,1.16,0.96,0.93,0.79,0.66,0.68,0.93,0.66,0.72,0.66,0.6,0.64,0.66
d_1,1.17,0.99,1.0,0.86,0.9,0.85,0.67,0.62,0.89,0.74,0.7,0.61,0.59,0.54,0.49,0.56
c_1,1.14,0.87,1.16,1.0,1.29,0.77,0.68,0.59,0.53,0.46,0.53,0.61,0.52,0.52,0.59,0.5
b_1,1.04,1.05,1.1,0.78,1.0,1.28,0.89,0.73,0.77,0.64,0.71,0.6,0.68,0.5,0.61,0.6
a_1,1.42,1.05,1.19,1.29,0.78,1.0,0.85,0.84,0.61,0.79,0.85,0.7,0.8,0.75,0.6,0.74
h_1,1.76,1.26,1.51,1.44,1.16,1.13,1.0,1.13,0.95,0.91,0.94,0.77,0.83,0.76,0.96,0.81
g_1,1.33,1.5,1.8,1.59,1.38,1.15,0.87,1.0,0.93,0.77,0.89,1.17,0.73,0.78,0.8,0.8
c_0,1.7,1.47,1.12,1.71,1.29,1.53,1.05,1.08,1.0,1.14,1.36,1.05,0.91,1.01,0.89,0.91
d_0,1.48,1.11,1.38,2.3,1.57,1.21,1.06,1.22,0.84,1.0,0.97,0.91,0.85,0.95,0.89,0.9
b_0,1.74,1.53,1.39,1.94,1.47,1.18,1.11,1.1,0.77,1.0,1.0,0.95,0.96,1.3,0.93,1.01
f_0,1.5,1.39,1.58,1.51,1.53,1.53,1.33,0.88,0.97,1.06,1.05,1.0,0.93,0.91,0.79,1.27
h_0,2.0,1.56,1.66,1.77,1.49,1.3,1.23,1.33,1.07,1.14,1.04,1.11,1.0,0.99,1.13,0.76
a_0,1.63,1.62,1.95,1.84,1.83,1.32,1.36,1.31,1.02,1.08,0.83,1.08,0.98,1.0,1.02,0.94
g_0,1.75,1.59,2.13,1.73,1.62,1.55,1.06,1.26,1.1,1.14,1.05,1.3,0.86,0.98,1.0,1.2
e_0,2.2,1.63,1.79,1.9,1.75,1.48,1.24,1.19,1.09,1.05,1.0,0.75,1.36,1.16,0.84,1.0
