,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.64,2.72,1.55,1.63,1.36,1.23,4.97,5.79,6.13,5.48,6.42,3.8,10.64,6.86,9.42,5.32
e_1,1.48,5.89,1.22,1.76,1.74,1.61,5.13,4.99,13.55,7.02,7.62,7.82,8.79,6.73,10.6,4.28
d_1,1.69,1.22,6.5,1.28,1.41,1.49,6.45,6.06,3.44,13.94,9.63,8.24,12.12,8.03,10.62,8.83
c_1,1.63,1.48,1.26,6.82,2.86,1.44,5.75,4.86,6.28,3.72,4.75,8.26,10.0,8.53,9.19,7.14
b_1,1.51,1.47,1.32,1.65,7.8,3.15,5.69,4.8,6.72,6.08,2.8,6.18,12.5,5.14,11.74,7.74
a_1,1.8,1.33,1.78,1.44,1.57,10.53,5.51,6.06,6.75,7.71,7.59,7.6,13.59,4.35,10.08,7.42
h_1,2.65,1.73,2.07,1.89,1.54,1.37,16.36,9.66,8.72,9.14,8.92,7.68,7.37,9.11,17.86,9.68
g_1,1.72,1.67,2.93,1.88,1.7,1.8,6.75,19.5,7.51,8.7,8.37,13.14,12.18,9.8,8.9,9.45
d_0,1.97,1.69,1.1,3.79,1.69,1.79,6.74,5.36,16.25,6.21,9.96,7.86,11.67,8.8,12.54,13.05
c_0,2.18,1.56,2.42,1.25,1.14,1.65,7.82,8.06,7.97,17.42,18.03,8.54,15.36,11.44,16.64,13.34
b_0,2.12,1.72,2.21,2.0,0.99,1.57,8.24,8.55,8.88,9.54,18.65,8.66,13.37,20.05,14.9,11.54
f_0,1.2,1.3,2.41,2.07,1.87,1.97,7.39,6.47,9.34,12.03,10.01,21.18,13.11,10.33,16.74,22.98
h_0,2.77,1.74,2.06,1.91,1.85,1.62,4.07,9.02,7.73,7.77,9.21,8.63,9.7,9.56,18.72,9.32
a_0,2.51,1.47,2.14,1.85,1.77,0.97,8.16,7.04,7.98,7.96,9.36,10.33,15.43,24.61,15.01,13.69
g_0,1.58,1.45,3.19,1.88,1.71,1.7,5.5,4.86,8.11,8.66,10.64,16.32,13.32,9.83,11.42,11.98
e_0,2.54,1.34,1.78,2.36,1.5,1.63,7.82,7.06,8.96,8.73,11.04,8.78,17.98,13.13,16.34,28.81
