,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.38,0.91,0.91,0.99,0.87,0.91,1.17,1.0,0.93,0.89,,1.02,1.03,0.92,1.0
e_1,0.72,1.0,1.11,1.06,0.94,0.85,1.0,0.87,1.14,1.36,0.78,1.02,1.05,0.88,1.22,
d_1,1.1,0.9,1.0,0.81,0.99,0.97,1.02,1.02,1.34,,1.11,0.94,1.06,0.97,0.79,0.84
c_1,1.09,0.95,1.23,1.0,1.24,1.0,1.03,0.78,,0.82,0.89,1.19,0.87,,1.16,0.87
b_1,1.02,1.06,1.01,0.81,1.0,1.31,1.24,0.85,1.04,0.88,,0.96,1.03,1.03,0.97,1.06
a_1,1.15,1.18,1.03,1.0,0.77,1.0,1.0,0.97,0.84,0.75,1.13,1.02,1.44,,0.97,
h_1,1.1,1.0,0.98,0.97,0.8,1.0,1.0,1.02,1.07,0.92,1.15,0.86,,0.97,1.15,0.83
g_1,0.86,1.15,0.98,1.28,1.17,1.03,0.98,1.0,1.08,0.87,1.0,1.24,0.79,0.69,,
c_0,1.0,0.88,0.75,,0.96,1.19,0.93,0.92,1.0,1.34,1.33,1.23,1.01,0.87,1.14,0.75
d_0,1.08,0.74,,1.21,1.14,1.34,1.09,1.15,0.75,1.0,0.98,0.92,1.15,1.03,0.91,0.93
b_0,1.13,1.27,0.9,1.12,,0.89,0.87,1.0,0.75,1.02,1.0,0.81,0.85,1.69,1.18,1.06
f_0,,0.98,1.06,0.84,1.04,0.98,1.16,0.81,0.81,1.09,1.23,1.0,1.02,0.93,0.78,1.39
h_0,0.98,0.95,0.94,1.15,0.97,0.69,,1.27,0.99,0.87,1.18,0.98,,1.06,1.22,
a_0,0.97,1.13,1.03,,0.97,,1.03,1.45,1.15,0.97,0.59,1.08,0.94,1.0,1.0,
g_0,1.08,0.82,1.26,0.86,1.03,1.03,0.87,,0.88,1.1,0.85,1.28,0.82,1.0,,
e_0,1.0,,1.19,1.15,0.95,,1.2,,1.33,1.07,0.94,0.72,,,,1.0
