,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.91,1.09,1.46,1.5,3.19,19.52,38.73,26.38,28.36,32.81,58.46,86.52,76.82,116.11,111.44
f_1,1.09,1.0,0.87,1.07,1.41,2.9,13.88,22.24,23.58,25.09,32.0,44.54,58.77,79.78,110.19,104.96
d_1,0.92,1.14,1.0,1.24,1.19,2.7,16.29,22.91,29.71,18.51,34.98,48.91,69.33,76.22,68.65,95.69
c_1,0.69,0.93,0.8,1.0,1.74,2.41,13.81,15.4,14.59,20.98,21.69,41.14,67.23,54.73,80.17,95.5
b_1,0.66,0.71,0.85,0.58,1.0,3.01,11.82,15.4,18.33,19.01,20.3,32.88,54.75,53.89,67.32,78.21
a_1,0.32,0.35,0.37,0.42,0.33,1.0,6.21,7.67,7.93,9.32,14.48,16.68,26.81,29.28,35.34,36.22
h_1,0.05,0.07,0.06,0.07,0.08,0.15,1.0,1.46,1.37,1.78,1.94,2.48,4.06,4.19,6.82,6.0
d_0,0.03,0.04,0.05,0.07,0.06,0.12,0.7,1.0,0.86,1.16,1.39,2.01,3.31,2.71,4.37,4.87
c_0,0.04,0.04,0.03,0.06,0.05,0.13,0.74,1.16,1.0,1.14,1.9,2.25,2.86,3.98,4.03,4.78
g_1,0.04,0.04,0.05,0.05,0.05,0.11,0.55,0.86,0.89,1.0,1.22,2.66,2.49,2.63,3.77,4.25
b_0,0.03,0.03,0.03,0.05,0.05,0.07,0.5,0.68,0.5,0.79,1.0,1.5,2.82,3.34,2.81,3.65
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.42,0.47,0.44,0.38,0.69,1.0,1.58,1.53,1.58,3.12
h_0,0.01,0.02,0.01,0.01,0.02,0.03,0.25,0.31,0.34,0.41,0.35,0.65,1.0,0.95,1.53,1.24
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.33,0.27,0.36,0.33,0.63,1.04,1.0,1.31,1.3
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.24,0.25,0.25,0.35,0.66,0.66,0.69,1.0,0.99
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.19,0.21,0.23,0.3,0.32,0.88,0.71,1.07,1.0
