,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.95,0.86,0.8,0.63,0.42,0.44,0.42,0.38,0.39,0.37,0.31,0.31,0.26,0.31
e_1,0.82,1.0,1.15,0.88,0.96,0.71,0.47,0.61,0.48,0.43,0.39,0.41,0.35,0.33,0.4,0.37
c_1,1.04,0.87,1.0,1.01,1.27,0.77,0.51,0.36,0.42,0.34,0.32,0.36,0.38,0.34,0.35,0.31
d_1,1.19,1.12,0.97,1.0,0.93,0.66,0.47,0.5,0.36,0.55,0.46,0.34,0.35,0.35,0.32,0.27
b_1,1.25,1.05,0.79,1.1,1.0,1.22,0.62,0.49,0.5,0.52,0.47,0.47,0.4,0.35,0.36,0.35
a_1,1.56,1.39,1.33,1.49,0.82,1.0,0.78,0.64,0.71,0.57,0.7,0.56,0.56,0.47,0.46,0.39
h_1,2.42,2.05,1.99,2.09,1.63,1.27,1.0,0.87,1.01,0.84,0.77,0.75,0.76,0.64,0.65,0.79
d_0,2.15,1.67,2.91,1.94,2.04,1.55,1.14,1.0,1.0,0.77,0.87,0.75,0.77,0.74,0.75,0.78
g_1,2.38,2.17,2.44,2.72,2.03,1.41,0.97,0.98,1.0,0.97,0.89,1.07,0.74,0.71,0.84,0.77
c_0,2.61,2.4,2.95,1.77,1.92,1.64,1.17,1.32,1.01,1.0,1.26,0.92,1.02,0.94,0.79,0.85
b_0,2.6,2.65,2.99,2.1,2.25,1.46,1.3,1.15,1.18,0.82,1.0,1.05,1.06,1.18,0.75,0.88
f_0,2.77,2.45,2.85,2.98,2.07,1.75,1.27,1.26,0.89,1.07,1.01,1.0,1.02,0.81,1.24,0.74
h_0,3.18,2.9,2.63,2.76,2.56,1.7,1.32,1.22,1.42,1.07,0.99,0.95,1.0,0.92,0.89,1.03
a_0,3.04,3.04,2.88,2.88,2.91,2.14,1.48,1.31,1.44,1.09,0.87,1.26,1.06,1.0,1.12,0.88
e_0,3.55,2.58,2.9,3.07,2.66,2.16,1.52,1.33,1.11,1.17,1.21,0.8,1.16,0.95,1.0,1.03
g_0,3.28,2.85,3.23,3.84,2.8,2.2,1.24,1.25,1.35,1.21,1.2,1.35,1.01,1.13,1.04,1.01
