,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.39,0.4,0.47,0.36,0.26,0.31,0.28,0.29,0.46,0.28,0.28,0.25,0.18,0.14,0.24
f_1,0.68,0.94,0.43,0.4,0.29,0.23,0.25,0.23,0.27,0.24,0.26,0.15,0.21,0.16,0.14,0.17
d_1,0.45,0.49,0.95,0.34,0.3,0.22,0.34,0.24,0.42,0.19,0.3,0.26,0.23,0.18,0.19,0.19
c_1,0.43,0.44,0.38,0.94,0.65,0.18,0.26,0.26,0.16,0.24,0.24,0.23,0.24,0.19,0.18,0.2
b_1,0.41,0.53,0.47,0.37,0.94,0.53,0.28,0.26,0.29,0.25,0.16,0.23,0.23,0.17,0.19,0.19
a_1,0.51,0.5,0.62,0.63,0.29,0.94,0.43,0.28,0.31,0.37,0.29,0.29,0.39,0.14,0.22,0.3
h_1,0.66,0.89,0.7,0.65,0.53,0.35,0.75,0.46,0.41,0.36,0.4,0.3,0.27,0.3,0.27,0.44
g_1,0.57,0.62,1.1,0.56,0.53,0.4,0.48,0.75,0.46,0.35,0.37,0.55,0.39,0.31,0.29,0.26
c_0,0.77,0.79,0.71,0.54,0.46,0.45,0.51,0.42,0.65,0.47,0.67,0.42,0.43,0.35,0.33,0.38
d_0,0.6,0.74,0.43,1.14,0.66,0.37,0.51,0.43,0.39,0.66,0.39,0.4,0.37,0.34,0.33,0.37
b_0,0.78,0.82,0.72,0.68,0.4,0.36,0.52,0.43,0.39,0.53,0.65,0.43,0.5,0.61,0.37,0.36
f_0,0.58,0.68,0.83,0.83,0.57,0.42,0.58,0.45,0.5,0.55,0.5,0.65,0.49,0.41,0.62,0.29
h_0,0.75,1.16,0.88,0.69,0.56,0.4,0.43,0.55,0.51,0.55,0.39,0.45,0.37,0.36,0.34,0.54
a_0,0.89,0.82,1.02,0.76,0.69,0.36,0.56,0.48,0.56,0.44,0.4,0.4,0.49,0.59,0.3,0.4
e_0,0.61,0.92,0.89,0.92,0.71,0.44,0.59,0.54,0.49,0.53,0.57,0.42,0.48,0.46,0.62,0.44
g_0,0.84,0.88,1.17,0.75,0.68,0.48,0.58,0.39,0.53,0.48,0.55,0.68,0.4,0.41,0.35,0.33
