,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9.05,1.84,0.69,0.74,0.58,0.57,0.79,0.9,0.84,0.74,0.82,0.63,0.87,0.86,0.77,0.55
e_1,0.64,10.01,0.57,1.03,0.75,0.74,0.97,0.85,2.52,0.86,1.03,1.05,0.9,0.82,0.98,0.8
d_1,0.7,0.54,13.68,0.57,0.62,0.65,1.11,1.07,0.6,2.45,1.42,1.0,1.08,1.26,1.01,1.06
c_1,0.73,0.63,0.59,11.26,1.74,0.81,0.83,0.89,0.77,0.59,0.6,0.95,0.92,1.01,0.85,1.06
b_1,0.74,0.62,0.66,0.65,13.15,1.9,0.86,0.82,0.91,0.69,0.53,0.96,1.13,0.62,1.17,0.88
a_1,0.81,0.62,0.86,0.61,0.76,17.02,1.05,0.98,0.85,1.13,1.1,1.12,1.16,0.6,0.95,0.96
h_1,1.36,0.77,1.01,0.76,0.59,0.57,3.03,1.46,0.98,0.96,1.1,0.92,0.7,1.11,1.51,1.19
g_1,0.68,0.57,1.68,0.71,0.73,0.72,1.06,3.68,0.76,1.03,1.09,1.56,0.95,1.13,0.83,1.19
d_0,0.72,0.69,0.53,2.53,0.75,0.74,0.98,0.78,1.92,0.62,1.2,0.99,0.95,1.1,0.92,1.19
c_0,0.95,0.65,1.14,0.6,0.44,0.65,1.31,1.26,0.91,2.39,3.76,1.12,1.4,1.54,1.34,1.55
b_0,0.93,0.67,1.08,0.99,0.44,0.56,1.26,1.2,0.98,1.24,2.59,1.12,1.24,3.22,1.12,1.47
f_0,0.58,0.54,1.08,0.82,0.94,0.74,1.31,1.13,1.04,1.27,1.36,2.88,1.28,1.39,1.42,3.65
h_0,1.17,0.72,0.98,0.74,0.77,0.65,0.79,1.39,0.78,0.98,1.09,1.03,0.74,1.19,1.61,0.94
a_0,1.3,0.67,0.94,0.82,0.67,0.45,1.51,1.06,0.89,1.05,1.11,1.15,1.29,2.9,1.33,1.6
g_0,0.63,0.57,1.76,0.73,0.71,0.68,0.83,0.79,0.95,1.24,1.32,2.49,1.37,1.18,1.04,1.55
e_0,1.24,0.71,0.85,0.88,0.73,0.55,1.15,1.16,1.0,1.17,1.18,1.0,1.36,1.72,1.34,3.27
