,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.23,1.2,1.49,1.93,3.6,21.6,36.97,25.28,33.19,45.65,48.97,73.15,89.12,81.98,114.49
f_1,0.81,1.0,1.38,1.52,1.6,3.11,15.71,21.81,26.87,29.57,32.18,38.0,54.15,72.7,88.74,75.58
e_1,0.84,0.73,1.0,1.65,1.79,3.06,16.68,23.4,25.8,36.09,34.89,50.08,63.41,75.07,90.95,91.81
c_1,0.66,0.68,0.61,1.0,1.74,1.94,9.85,15.2,16.84,14.15,18.16,25.72,40.59,46.75,56.23,64.52
b_1,0.53,0.62,0.56,0.58,1.0,2.87,11.91,15.46,15.97,14.8,22.74,27.11,37.21,45.66,54.28,54.52
a_1,0.28,0.32,0.32,0.51,0.35,1.0,5.93,7.32,9.02,8.45,12.13,13.74,21.14,23.78,30.86,26.08
h_1,0.05,0.06,0.06,0.1,0.09,0.17,1.0,1.31,1.73,1.58,1.79,2.41,3.42,3.87,5.38,4.99
c_0,0.03,0.04,0.05,0.06,0.06,0.14,0.76,1.0,1.12,1.29,2.09,1.72,2.78,3.71,3.66,3.93
g_1,0.04,0.04,0.04,0.06,0.06,0.11,0.56,0.88,1.0,0.95,1.23,1.75,2.17,2.92,2.91,3.65
d_0,0.03,0.03,0.03,0.07,0.07,0.12,0.63,0.75,0.99,1.0,1.3,1.45,2.26,2.77,3.32,3.04
b_0,0.02,0.03,0.03,0.05,0.04,0.08,0.53,0.52,0.79,0.79,1.0,1.35,1.85,3.19,2.6,2.89
f_0,0.02,0.02,0.02,0.04,0.04,0.07,0.42,0.57,0.58,0.64,0.77,1.0,1.52,2.04,1.6,3.17
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.3,0.36,0.44,0.44,0.53,0.66,1.0,1.17,1.58,1.37
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.28,0.34,0.38,0.33,0.55,0.87,1.0,1.23,1.36
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.28,0.32,0.3,0.37,0.62,0.63,0.81,1.0,1.16
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.28,0.27,0.34,0.34,0.32,0.72,0.75,0.82,1.0
