,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,12736.41,111.34,186.33,204.36,450.39,1125.47,198480.69,939582.16,524012.34,604683.47,616628.2,1569484.83,6926290.27,15424183.64,,7847014.84
d_1,115.06,14159.02,195.34,214.1,310.85,1231.75,196947.85,,1237785.38,521151.48,1133751.79,1551453.55,7074940.35,9526407.92,8663248.62,11450607.51
f_1,241.29,182.07,14960.3,211.08,314.31,2241.85,187428.3,477756.22,625789.44,448891.03,1050853.81,,6503437.57,10373534.02,7998068.42,14472761.98
c_1,192.12,140.81,169.36,15998.61,713.47,1598.69,296773.09,605181.55,,415338.02,774477.7,1748693.32,4778045.63,9385945.4,10806701.65,9973087.81
b_1,196.39,212.64,212.61,162.29,37156.58,,175631.63,501408.77,608590.66,678873.11,,1442566.21,6630395.29,7998687.48,5481817.66,9026768.04
a_1,150.77,134.13,230.38,198.86,,245366.25,276688.75,679160.26,739791.02,,891437.47,1646817.4,4835868.09,9074846.34,,
h_1,688.73,530.23,705.73,776.38,1494.33,6125.57,9986414.35,2447639.31,2426194.45,3119670.65,4176470.27,4929345.85,,48590317.34,26536631.53,37963167.96
d_0,830.47,,1101.26,2166.54,1801.86,10258.6,752599.34,17265434.87,2674741.25,2121978.88,5508098.47,5943790.94,28926159.3,51266305.83,20704454.54,71524809.2
c_0,807.79,995.38,1154.73,,1847.37,10097.02,623223.48,2572021.58,18424863.67,1878910.11,11455815.91,9538327.21,28833033.97,58192861.48,40525131.2,41065655.69
g_1,381.93,1099.25,712.97,705.49,1638.83,,641329.36,1946135.23,2381041.16,33276486.98,3818852.02,10906038.41,16954680.52,,27801644.54,
b_0,693.77,909.24,873.68,809.19,,6207.06,1515644.67,1974621.66,3306778.54,2132388.71,38088281.95,8419535.22,23373442.38,57521758.47,45992265.26,109856317.41
f_0,985.0,1217.04,,756.1,2554.75,7908.86,1152993.84,3602633.36,3436818.36,1982956.39,4650892.4,54125023.6,27875768.04,54109887.84,65299473.18,44113625.34
h_0,1613.48,992.54,2259.58,1207.38,2303.86,12569.18,,4282225.04,5120598.39,6064406.51,5835348.64,11665384.08,,103311188.73,45516377.33,69185212.64
g_0,1092.87,2880.67,713.62,1474.42,3306.92,14819.86,1705668.57,4347762.61,2859873.13,,4786257.93,16701561.31,33601094.13,,60822251.88,65258999.47
e_0,,769.42,717.58,920.23,2256.41,,1051201.51,2538493.51,3834289.74,3134073.57,5113573.01,6421269.99,38394602.02,69991592.84,428114520.82,
a_0,619.58,1181.12,988.33,1056.2,1549.58,,1143023.33,3066921.55,3474343.86,,5233167.56,7519253.59,50098016.85,49468455.6,,576765720.48
