,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.79,0.94,1.29,0.99,1.06,1.1,1.45,1.07,0.9,0.91,0.96,1.03,1.31,1.08,1.19
f_1,1.27,1.0,0.93,0.96,1.04,0.82,0.82,0.92,1.01,0.86,0.98,0.76,0.84,0.76,0.97,0.95
d_1,1.05,1.07,1.0,0.92,0.96,0.87,1.01,1.14,0.83,1.24,1.01,1.05,0.98,1.13,0.91,0.79
c_1,0.78,1.04,1.08,1.0,1.43,1.0,1.01,0.6,1.08,0.8,1.0,1.05,1.0,0.84,0.89,0.91
b_1,1.03,0.96,1.03,0.71,1.0,1.57,1.01,1.0,1.08,0.96,1.15,1.12,1.3,0.96,1.08,1.07
a_1,0.96,1.21,1.14,0.99,0.64,1.0,1.17,1.12,0.97,1.31,1.2,1.0,1.1,1.16,1.06,1.32
h_1,0.93,1.24,0.98,1.0,0.97,0.82,1.0,1.01,1.23,0.91,0.96,0.81,1.04,0.94,0.93,1.07
d_0,0.7,1.03,0.91,1.61,1.01,0.96,1.03,1.0,1.04,1.02,0.95,1.06,0.97,0.89,1.02,1.13
g_1,0.94,0.95,1.24,0.87,0.94,1.03,0.81,0.94,1.0,0.97,0.98,1.2,0.86,1.12,1.05,0.92
c_0,1.16,1.09,0.8,1.22,1.01,0.76,1.13,0.96,0.99,1.0,1.4,1.0,0.98,1.08,1.07,1.0
b_0,1.08,0.96,0.97,1.04,0.84,0.88,1.02,1.09,1.06,0.75,1.0,1.0,1.05,1.1,1.45,1.05
f_0,1.02,1.22,0.98,1.02,0.9,0.94,1.21,0.93,0.85,1.06,1.04,1.0,1.03,1.33,0.91,0.87
h_0,0.96,1.18,1.03,1.03,0.77,0.95,0.93,0.98,1.15,0.99,1.03,0.98,1.0,1.07,0.87,1.26
e_0,0.81,1.4,0.89,1.16,0.95,0.86,1.07,1.01,0.89,1.04,0.96,0.8,0.96,1.0,0.91,1.02
a_0,0.96,1.06,1.04,1.16,0.94,0.92,1.06,0.96,1.0,0.9,0.68,1.11,1.12,1.19,1.0,1.03
g_0,0.92,0.99,1.23,1.07,0.98,0.83,0.93,0.84,1.13,0.98,1.02,1.24,0.8,1.0,0.98,1.0
