,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.92,0.98,1.03,0.9,0.86,0.82,1.06,0.86,0.91,0.89,0.86,0.85,0.81,0.97
e_1,0.8,1.0,0.92,1.19,1.05,1.03,1.13,0.98,1.14,1.44,0.99,1.1,1.13,1.04,1.02,1.09
d_1,1.09,1.09,1.0,0.83,0.94,0.92,1.02,1.31,0.78,1.25,1.09,1.12,1.03,1.01,1.11,0.8
c_1,1.0,0.84,1.21,1.0,1.35,0.75,1.0,0.74,1.01,0.68,0.82,0.97,0.99,1.01,0.93,0.96
b_1,0.98,0.94,1.07,0.73,1.0,1.62,1.04,1.02,1.09,0.98,1.04,0.92,1.07,0.88,1.0,1.09
a_1,1.1,0.98,1.08,1.32,0.63,1.0,1.12,1.15,1.1,0.98,1.34,0.97,1.08,1.21,1.06,1.17
h_1,1.17,0.92,0.98,0.99,0.92,0.9,1.0,0.92,1.22,1.09,1.18,1.01,1.03,0.87,0.89,1.19
c_0,1.18,1.03,0.74,1.33,0.88,0.94,1.09,1.0,0.83,1.07,1.43,1.06,0.99,1.11,1.08,0.97
g_1,0.96,0.87,1.28,1.01,0.98,0.91,0.84,1.15,1.0,0.96,0.84,1.23,0.89,1.21,0.98,1.07
d_0,1.1,0.72,0.85,1.55,1.0,1.04,0.93,0.92,1.06,1.0,0.97,0.87,0.93,0.97,0.88,1.06
b_0,1.05,1.03,0.91,1.22,1.01,0.78,0.78,0.72,1.19,1.02,1.0,0.96,1.02,1.51,1.1,1.18
f_0,1.17,0.89,0.9,1.04,1.09,0.99,1.05,0.98,0.81,1.04,1.07,1.0,1.13,1.02,1.57,0.76
h_0,1.15,0.96,0.97,1.01,0.93,0.95,0.91,1.02,1.15,1.04,0.97,0.88,1.0,0.95,0.97,1.34
a_0,1.14,0.94,1.0,0.95,1.11,1.0,1.12,0.91,0.87,0.96,0.68,0.94,1.06,1.0,1.02,1.04
e_0,1.22,1.02,0.9,0.99,1.02,0.92,1.05,0.9,1.01,1.07,0.94,0.62,1.02,0.95,1.0,1.09
g_0,1.01,0.9,1.23,1.08,0.89,0.89,0.83,1.03,0.95,0.89,0.91,1.35,0.73,1.0,0.87,0.99
