,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,12030.64,230.98,173.31,199.92,413.29,2517.13,279963.27,538403.32,904205.24,847173.45,,1594803.63,4240018.67,4120286.84,4573895.38,9917551.86
e_1,159.97,12095.53,229.58,200.09,333.21,2720.79,202697.34,269428.58,1007416.56,799436.84,1093340.83,1706227.11,4486083.74,,5436079.15,12181800.72
c_1,164.53,152.83,15726.02,168.75,726.77,1699.72,232539.32,534650.86,576013.42,,879620.85,928369.1,6263070.23,6520939.74,4825893.17,17122839.17
d_1,159.9,156.35,198.08,17639.67,421.32,,225035.6,427315.65,,1854994.46,775757.58,1602702.66,6145787.75,4169449.35,4937034.95,11678122.23
b_1,164.51,165.2,234.08,184.32,35435.67,4373.66,258751.73,412724.38,762264.45,781069.46,927665.51,,4059527.68,5113749.73,4967138.82,8951870.7
a_1,179.27,165.03,205.11,,329.96,311181.83,228269.42,394445.21,653786.08,,1156750.94,1791317.89,3946055.34,,,
h_1,777.09,627.69,773.11,767.32,1243.7,8726.04,10608821.08,2538941.16,2513576.82,3041756.1,3986374.7,4766079.81,,23434131.39,17342686.63,58603715.56
g_1,575.17,536.34,564.05,1173.83,1391.32,7427.46,784676.12,28202832.83,2517076.4,2550829.95,6968047.34,8113616.34,10213319.7,17639978.03,16569375.8,
d_0,875.71,774.72,1717.55,,1842.02,10769.98,1401766.15,1778557.03,18887791.46,4142609.12,4612612.61,8529565.36,25268765.06,20659433.73,48925571.56,60275593.33
c_0,1118.06,808.4,,1048.44,1119.45,,888339.29,2361589.87,3131435.28,28739350.76,5441545.89,17348991.0,25710099.87,28064892.58,21316304.27,72400596.74
f_0,,766.97,1119.68,1390.33,1635.71,9563.75,813342.95,1410141.64,3747447.32,4598296.12,34986666.67,6856005.81,28048329.22,61151923.83,,72258381.28
b_0,685.09,767.37,999.15,1081.02,,9527.45,1006529.51,2461727.34,3228735.57,4090040.43,4080455.41,64675793.48,36027630.58,,63762227.92,51798122.78
h_0,1296.05,1022.63,1331.51,1808.56,2998.8,13548.64,,5640566.57,4591466.99,6131061.5,6599111.11,9141341.08,,44844744.14,67884230.54,139164289.88
e_0,789.4,,797.59,946.34,2218.99,,1041693.03,2332017.19,3768645.95,6015212.95,4233591.73,,12265220.49,301019159.93,42098747.62,91282479.94
a_0,512.95,956.64,1006.06,1449.48,1294.76,,951714.82,1934758.98,2886146.41,3184835.7,,7752739.32,29602458.28,31463390.89,335838871.39,97446072.68
g_0,1163.88,1047.88,1206.97,2469.79,2836.49,,1471743.97,,4215219.61,5980442.93,10062427.75,12455171.58,32425814.12,53021899.27,41201411.6,
