,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.93,0.15,0.12,0.11,0.1,0.06,0.06,0.06,0.07,0.06,0.07,,0.04,0.05,0.05,0.03
e_1,0.1,0.93,0.1,0.07,0.09,0.07,0.07,0.05,0.11,0.07,0.06,0.06,0.05,0.05,0.04,
d_1,0.1,0.09,0.93,0.1,0.08,0.07,0.07,0.04,,0.11,0.07,0.06,0.04,0.08,0.04,0.05
c_1,0.1,0.14,0.11,0.93,0.15,0.08,0.06,0.07,0.05,,0.06,0.05,0.07,0.07,0.06,0.03
b_1,0.09,0.11,0.11,0.09,0.93,0.14,0.09,0.06,0.07,0.06,,0.07,0.06,0.07,0.06,0.04
a_1,0.14,0.13,0.14,0.09,0.07,0.93,0.11,0.09,0.07,0.08,0.06,0.05,,0.07,0.05,
h_1,0.39,0.28,0.27,0.33,0.2,0.15,0.71,0.19,0.22,0.19,0.16,0.16,0.1,,0.18,0.1
g_1,0.3,0.34,0.55,0.3,0.26,0.15,0.21,0.71,0.13,0.2,0.14,0.19,0.1,0.16,,
d_0,0.31,0.3,,0.58,0.28,0.26,0.26,0.23,0.57,0.26,0.18,0.21,0.17,0.23,0.15,0.13
c_0,0.41,0.4,0.28,,0.31,0.19,0.25,0.23,0.23,0.58,0.37,0.16,0.18,0.21,0.15,
b_0,0.37,0.38,0.33,0.36,,0.28,0.27,0.21,0.27,0.16,0.58,0.17,0.27,0.23,0.21,0.14
f_0,,0.37,0.31,0.43,0.37,0.31,0.26,0.21,0.25,0.26,0.2,0.56,0.14,0.21,0.16,
a_0,0.43,0.35,0.39,0.23,0.27,,0.3,0.27,0.27,0.23,0.2,0.24,0.6,0.26,0.21,
h_0,0.77,0.45,0.36,0.48,0.42,0.24,,0.37,0.24,0.26,0.25,0.29,0.24,,0.32,0.21
g_0,0.47,0.6,0.77,0.45,0.41,0.4,0.33,,0.39,0.33,0.23,0.37,0.18,0.22,,0.2
e_0,0.52,,0.36,0.47,0.41,,0.28,,0.31,,0.28,,,0.22,0.19,0.59
