,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.51,0.71,0.78,0.57,0.57,0.46,0.89,0.66,1.32,0.53,0.95,0.81,0.82,0.81,0.74,0.8
e_1,0.59,1.52,0.64,0.78,0.69,0.59,0.82,0.73,0.8,1.32,0.79,0.9,0.94,0.84,0.42,0.86
f_1,0.65,1.06,1.53,0.69,0.61,0.44,0.61,0.74,0.78,0.7,0.8,0.51,0.81,0.58,0.53,0.6
c_1,0.8,0.65,0.68,1.58,1.03,0.55,0.84,0.64,0.41,0.68,0.59,0.78,0.81,0.54,0.51,0.87
b_1,0.8,0.63,0.74,0.55,1.62,1.07,0.88,0.73,0.79,0.72,0.58,0.76,0.68,0.53,0.89,0.89
a_1,0.89,0.77,0.87,0.71,0.45,1.76,0.84,0.9,0.83,1.02,0.89,0.93,1.29,0.62,0.86,0.95
h_1,0.86,0.79,1.22,0.89,0.82,0.76,1.73,1.23,1.04,1.05,1.01,0.95,0.87,0.77,0.96,1.38
g_1,1.38,0.78,0.62,1.04,0.83,0.69,0.91,1.81,1.08,0.81,1.0,1.34,1.05,0.99,1.16,0.85
c_0,0.94,1.03,0.95,0.74,0.81,0.77,1.0,1.06,1.58,1.26,1.72,1.08,1.32,1.1,1.03,1.11
d_0,0.56,0.85,1.01,1.59,0.82,0.7,1.1,1.22,0.9,1.59,0.93,1.09,1.18,0.93,1.08,1.19
b_0,1.05,1.02,1.05,0.87,0.53,0.65,1.17,1.06,1.03,1.17,1.66,0.99,1.44,1.84,0.92,1.3
f_0,1.1,0.75,0.72,0.93,0.9,0.94,1.28,1.13,1.26,1.13,1.15,1.67,1.47,0.95,1.85,0.98
h_0,1.18,0.94,1.35,1.03,1.01,0.6,0.8,1.29,1.19,1.1,0.86,0.89,0.83,1.08,0.74,1.4
a_0,1.06,1.0,1.08,1.1,0.9,0.48,1.39,1.13,1.27,1.27,0.98,1.19,1.42,1.69,0.98,1.12
e_0,1.09,0.77,1.16,1.21,0.84,0.79,1.36,1.01,1.17,1.1,1.2,0.93,1.6,1.09,1.78,1.21
g_0,1.51,0.85,1.12,0.94,0.82,0.72,1.05,0.9,1.25,1.03,1.02,1.61,1.14,1.17,1.02,1.02
