,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.16,0.64,0.83,0.55,0.68,0.52,0.19,0.21,0.07,0.21,0.14,0.14,0.1,0.13,0.12,0.09
f_1,0.66,0.16,0.59,0.64,0.63,0.58,0.13,0.22,0.15,0.13,0.25,0.11,0.07,0.11,0.12,0.12
d_1,0.79,0.57,0.16,0.79,0.71,0.74,0.17,0.11,0.29,0.11,0.1,0.12,0.09,0.13,0.1,0.06
e_1,0.68,0.38,0.8,0.15,0.67,0.78,0.21,0.21,0.14,0.15,0.16,0.13,0.11,0.43,0.15,0.11
b_1,0.34,0.82,0.71,0.62,0.14,0.72,0.24,0.22,0.16,0.19,0.14,0.32,0.1,0.12,0.16,0.1
a_1,0.87,0.92,0.72,0.7,0.3,0.09,0.17,0.24,0.15,0.15,0.12,0.19,0.1,0.16,0.27,0.12
h_1,0.53,0.49,0.46,0.62,0.52,0.51,0.06,0.14,0.14,0.1,0.1,0.1,0.11,0.08,0.09,0.09
g_1,0.55,0.57,0.49,0.54,0.63,0.48,0.11,0.05,0.12,0.1,0.13,0.11,0.05,0.1,0.1,0.11
d_0,0.56,0.54,0.97,0.27,0.58,0.47,0.17,0.15,0.06,0.11,0.15,0.1,0.07,0.14,0.13,0.09
c_0,1.22,0.53,0.26,0.56,0.57,0.51,0.15,0.15,0.17,0.06,0.11,0.11,0.08,0.14,0.12,0.07
f_0,0.49,1.05,0.49,0.49,0.52,0.45,0.16,0.09,0.12,0.1,0.05,0.12,0.08,0.13,0.13,0.05
b_0,0.76,0.52,0.37,0.54,0.96,0.57,0.14,0.14,0.11,0.06,0.1,0.05,0.07,0.1,0.12,0.07
h_0,0.47,0.56,0.51,0.48,0.49,0.49,0.22,0.16,0.12,0.11,0.12,0.09,0.12,0.1,0.1,0.07
e_0,0.49,0.98,0.44,0.96,0.57,0.38,0.15,0.1,0.11,0.09,0.05,0.09,0.08,0.04,0.1,0.07
a_0,0.59,0.49,0.48,0.56,0.59,0.83,0.13,0.16,0.11,0.09,0.1,0.05,0.07,0.1,0.04,0.08
g_0,0.55,0.61,0.49,0.47,0.53,0.49,0.12,0.2,0.11,0.1,0.11,0.09,0.05,0.1,0.1,0.1
