,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8723.44,1901.38,1966.78,2474.25,2776.92,11079.87,1416564.36,2848468.05,3252457.48,7072307.16,10602336.13,2547947.79,49011276.85,35040854.06,54857015.53,74878585.97
e_1,1243.65,9270.97,1453.47,1717.9,2985.02,10275.58,1310738.08,6928899.7,4301162.94,6479525.02,16098068.35,15926062.89,66228120.38,14832718.97,81418559.04,137932613.18
c_1,881.41,965.24,16855.74,2689.56,6502.58,12495.9,1204307.98,3349545.33,3609855.64,1354194.23,7924661.02,12859271.85,55085514.72,47232173.08,47980764.36,163880332.49
d_1,1041.23,1028.23,1176.04,29898.1,2732.43,8860.21,1449450.24,733734.74,3977981.65,15537299.92,14339530.52,12781277.88,80578422.55,63511253.82,48173331.89,168979810.04
b_1,895.69,891.17,1391.23,2798.56,40806.7,25632.89,1059532.12,3489169.06,3835013.89,6223378.28,2734269.62,18482151.23,68707957.72,68127747.82,38967799.3,148864811.69
a_1,1000.98,953.69,1551.25,3043.2,2451.6,205526.53,1202329.99,4010851.55,3752244.82,5781561.44,12981556.85,16186462.12,78818669.08,72552937.49,16470453.32,147292379.28
h_1,2227.18,1618.74,2672.65,4210.2,6008.05,16087.51,8824186.51,5447092.0,8935352.98,11824939.63,18591021.04,24412082.45,36681905.06,112260513.93,84503455.63,276358384.76
d_0,1905.08,1403.85,5689.73,1517.27,4435.21,14128.62,2398842.2,15764984.73,8261108.34,11235024.71,25407792.0,25697670.4,125029823.91,114984827.66,117906605.35,286466782.96
g_1,1585.51,1182.67,2442.17,7173.55,6364.09,16210.08,2098881.12,5461370.09,34701168.38,14420251.01,22164457.4,38552709.77,89998068.5,103815227.56,105761929.99,66738218.99
c_0,2191.84,1681.25,1590.34,6012.58,3787.61,15965.37,2214201.5,5973151.18,7370329.35,37021908.89,53099643.57,30454925.09,115247876.25,96191488.3,131265219.99,258867720.79
b_0,1929.75,1889.88,2775.1,4967.21,2129.73,18328.36,2981264.35,6857222.89,7324615.73,13048685.39,74711692.46,30822190.86,97940388.19,112729153.65,228470743.12,277694756.95
f_0,651.53,1573.57,3772.41,4712.37,6760.14,23325.4,2685406.1,8154458.52,7907284.03,10893714.37,26764605.42,96014745.59,109379526.12,218474520.97,93847714.77,350801266.17
h_0,1927.27,1529.23,3322.91,4994.31,5905.93,20644.18,724610.62,6389703.65,8747942.45,15191437.11,21204141.68,23743852.68,58345298.18,140614973.64,89134410.07,363943865.53
e_0,1797.94,347.39,4994.8,3808.34,6772.03,21241.41,2937106.99,5625685.18,6728032.89,15299354.42,21408292.92,36431824.57,128652976.61,414075666.14,83993081.01,350745702.5
a_0,1597.47,1609.8,3614.73,4038.24,5684.19,9761.87,2832504.54,6964711.16,8273159.75,12483276.68,26514939.59,28128076.71,127573122.69,93777843.68,456451349.76,333344064.88
g_0,1076.17,1479.99,3176.64,7338.9,7126.15,16453.66,2362595.96,6002917.71,2535351.39,11539061.97,19277658.06,48487446.52,97738561.72,134712616.72,77260302.29,105958606.51
