,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,0.69,1.08,0.68,0.62,0.45,0.65,0.66,0.71,0.78,0.75,0.41,0.74,0.62,0.47,0.79
d_1,0.77,1.52,0.67,0.56,0.62,0.57,0.87,0.7,1.27,0.62,0.92,0.87,0.82,0.75,0.75,0.63
e_1,0.68,0.64,1.54,0.79,0.65,0.56,0.78,0.79,0.79,1.35,0.76,0.93,0.98,0.74,0.61,0.82
c_1,0.73,0.73,0.64,1.56,1.09,0.45,0.75,0.68,0.41,0.64,0.63,0.74,0.85,0.61,0.61,0.76
b_1,0.7,0.74,0.66,0.58,1.6,1.01,0.72,0.68,0.72,0.8,0.5,0.74,0.9,0.69,0.79,0.96
a_1,0.85,0.77,0.58,0.83,0.62,1.75,0.99,0.83,0.95,0.71,0.92,0.93,1.16,0.51,0.82,0.91
h_1,1.16,0.85,0.9,1.01,0.59,0.67,1.78,1.16,1.05,0.97,1.2,1.0,0.97,0.94,0.87,1.48
g_1,0.84,1.37,0.73,0.96,0.9,0.7,0.85,1.82,1.08,1.06,1.06,1.4,0.91,0.91,0.92,0.82
c_0,1.15,0.97,0.93,0.92,0.66,0.66,1.04,1.08,1.62,1.21,1.72,1.19,1.28,1.01,0.95,1.15
d_0,0.96,0.68,0.8,1.54,0.81,0.77,1.08,0.97,0.85,1.61,1.3,1.11,1.07,1.0,0.9,1.0
b_0,1.1,1.11,0.97,1.08,0.54,0.59,0.98,1.07,1.03,0.96,1.67,1.06,1.4,1.68,0.91,1.06
f_0,0.82,1.03,0.76,1.18,0.82,0.7,1.02,0.97,1.1,1.32,1.18,1.62,1.33,1.06,1.92,0.99
h_0,1.35,1.21,0.95,0.87,0.85,0.68,0.64,1.46,1.25,1.19,0.98,1.0,0.99,0.91,0.97,1.41
a_0,1.1,1.06,1.02,1.26,0.8,0.58,0.97,1.06,1.24,1.2,0.92,1.04,1.35,1.74,1.1,1.25
e_0,1.33,1.07,0.75,0.96,0.81,0.85,1.25,1.23,1.29,1.25,1.42,0.84,1.38,1.22,1.73,1.1
g_0,0.99,1.57,0.88,0.97,0.84,0.75,0.95,0.97,1.1,1.05,1.21,1.68,1.19,0.92,1.19,0.89
