,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.61,2.39,1.1,1.28,1.17,1.08,4.91,5.54,4.27,5.4,2.18,5.68,7.35,5.07,4.4,7.44
e_1,1.35,5.7,1.61,1.06,1.1,1.32,4.17,11.2,5.05,6.47,7.26,6.91,11.21,4.01,6.72,7.73
c_1,1.41,1.01,6.56,1.31,2.58,1.22,4.42,4.71,3.82,1.54,5.53,4.65,9.12,4.58,6.34,11.01
d_1,1.27,1.22,1.03,6.77,1.19,1.15,5.02,2.51,5.43,13.3,8.35,7.06,8.42,7.99,6.44,9.61
b_1,1.43,1.08,1.22,1.24,7.92,2.61,4.21,6.13,4.44,4.56,5.6,2.44,9.56,6.06,6.6,10.04
a_1,1.37,1.14,1.65,1.46,1.08,10.36,4.03,6.93,3.91,5.25,5.69,5.83,10.38,7.56,3.18,8.75
h_1,2.26,1.39,1.78,1.43,1.41,1.33,17.02,6.46,8.24,7.91,5.48,7.93,5.45,6.41,7.04,14.6
d_0,1.79,1.47,2.85,0.79,1.61,1.63,6.73,14.82,4.85,6.74,8.95,7.05,10.64,6.8,6.72,12.27
g_1,1.61,1.36,1.4,2.53,1.41,1.4,5.95,5.87,20.16,6.65,11.19,7.93,9.12,8.99,8.06,5.9
c_0,1.53,1.88,1.01,1.79,1.37,1.27,6.56,7.53,7.61,16.11,7.97,15.55,10.64,9.66,9.46,10.71
f_0,0.86,1.19,1.84,2.01,1.76,1.8,6.33,7.93,5.34,8.98,17.9,8.09,10.64,18.94,7.76,13.53
b_0,1.67,1.76,1.9,1.53,0.76,1.44,6.86,6.98,7.46,7.85,7.71,19.7,11.64,8.26,16.81,13.27
h_0,2.28,1.4,1.74,1.56,1.57,1.8,4.77,7.45,7.81,6.98,6.48,8.48,7.77,8.16,8.34,14.21
e_0,1.3,0.99,1.98,1.46,1.89,1.6,8.07,9.5,6.56,8.76,7.86,9.4,14.16,26.16,12.52,14.07
a_0,2.0,1.14,2.01,1.81,1.56,0.85,6.6,8.02,5.2,7.32,7.76,8.79,11.73,8.55,26.91,13.91
g_0,1.03,1.48,1.68,2.61,1.84,1.56,6.94,4.46,3.97,7.41,11.48,7.86,10.62,9.45,7.26,7.55
