,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.49,0.14,0.18,0.13,0.15,0.13,0.15,0.34,0.19,0.2,0.2,0.16,0.21,0.15,0.23,
f_1,0.28,1.51,0.17,0.15,0.16,0.19,0.21,0.21,0.16,0.24,,0.16,0.17,0.12,0.18,0.14
c_1,0.18,0.17,1.54,0.16,0.25,0.12,0.19,0.18,0.16,,0.22,0.18,0.26,0.13,0.26,0.13
d_1,0.18,0.2,0.16,1.54,0.16,0.13,0.21,,0.17,0.31,0.18,0.16,0.23,0.14,0.22,0.16
b_1,0.18,0.15,0.14,0.17,1.58,0.25,0.2,0.16,0.22,0.17,0.24,,0.29,,0.18,0.14
a_1,0.19,0.13,0.19,0.2,0.14,1.71,0.21,0.2,0.18,0.27,0.22,,0.23,,0.2,
h_1,0.38,0.45,0.42,0.42,0.34,0.32,1.62,0.52,0.51,0.44,0.42,0.42,,0.27,0.52,0.4
d_0,0.4,0.45,0.7,,0.46,0.4,0.59,1.42,0.45,0.47,0.56,0.49,0.5,0.49,0.51,0.44
g_1,0.43,0.35,0.42,0.53,0.36,0.46,0.43,0.47,1.73,0.38,0.54,0.45,0.41,,,
c_0,0.46,0.43,,0.41,0.47,0.26,0.58,0.57,0.45,1.46,0.58,0.96,0.64,0.41,0.54,0.33
f_0,0.43,,0.51,0.45,0.3,0.39,0.69,0.62,0.53,0.5,1.44,0.56,0.82,0.48,0.39,0.81
b_0,0.5,0.51,0.43,0.49,,,0.68,0.6,0.43,0.43,0.51,1.53,0.67,0.8,0.56,
h_0,0.56,0.95,0.5,0.63,0.54,0.41,,0.76,0.85,0.79,0.42,0.68,,0.58,0.87,0.47
a_0,0.5,0.66,0.43,0.52,,,0.73,0.72,,0.57,0.65,0.43,0.71,1.67,0.53,
g_0,0.57,0.63,0.46,0.81,0.75,0.43,0.64,0.65,,0.76,1.05,0.62,0.55,0.63,,0.76
e_0,,0.64,0.53,0.48,0.52,,0.55,0.72,,0.85,0.5,,0.66,,0.55,1.67
