,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.04,1.68,1.6,1.48,1.37,1.18,0.52,0.38,0.51,0.55,0.47,0.38,0.33,0.26,0.36,0.35
e_1,1.44,1.04,1.1,1.77,1.5,1.22,0.67,0.58,0.45,0.56,0.46,0.5,0.34,0.38,0.42,0.47
f_1,1.51,1.73,1.05,1.57,1.42,1.2,0.49,0.55,0.42,0.46,0.42,0.47,0.28,0.35,0.38,0.32
c_1,1.98,1.43,1.62,1.04,1.77,1.36,0.69,0.67,0.54,0.32,0.41,0.41,0.38,0.37,0.36,0.41
b_1,1.99,1.88,1.9,1.23,1.05,1.91,0.69,0.68,0.68,0.6,0.64,0.57,0.46,0.44,0.41,0.48
a_1,2.67,2.46,2.61,2.37,1.38,1.06,0.97,0.95,0.85,0.8,1.04,0.76,0.61,0.47,0.88,0.6
h_1,4.37,3.92,4.67,4.46,4.21,3.48,1.23,1.66,1.24,1.24,1.33,1.21,1.11,0.99,1.09,1.05
g_1,5.69,4.93,5.41,4.61,4.83,3.82,1.48,1.26,1.6,1.46,1.53,1.35,1.0,1.17,1.34,1.23
c_0,3.86,5.11,5.93,7.29,5.11,3.68,1.92,1.85,1.31,2.08,1.77,1.38,1.3,1.07,1.44,1.43
d_0,5.62,3.84,5.24,6.21,5.03,3.91,2.1,2.47,1.45,1.37,1.47,1.43,1.26,1.22,1.45,1.56
b_0,4.85,5.12,6.04,8.12,6.27,3.58,1.99,1.99,1.15,1.86,1.34,1.37,1.35,1.12,1.97,1.37
f_0,6.39,5.68,7.02,7.03,5.73,4.82,2.22,1.95,1.91,2.15,1.98,1.39,1.59,1.05,1.58,1.88
h_0,6.99,6.98,8.02,6.75,6.21,5.07,2.91,2.79,1.99,2.1,1.9,1.74,1.83,1.65,1.58,1.61
g_0,8.34,7.67,8.83,8.16,8.04,7.29,2.58,3.29,2.33,2.42,2.31,2.42,1.44,1.82,1.96,1.95
a_0,8.15,7.38,8.06,9.03,10.71,7.25,2.98,2.64,1.95,2.32,1.44,2.09,2.17,1.76,1.47,2.11
e_0,8.72,7.97,9.97,7.93,7.92,6.76,3.06,2.78,2.33,2.33,2.56,1.5,1.94,1.56,2.36,1.48
