,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.91,0.56,0.27,0.29,0.24,0.14,0.28,0.3,0.19,0.24,0.22,0.14,0.26,0.2,0.23,0.14
e_1,0.36,0.9,0.25,0.41,0.24,0.16,0.32,0.5,0.22,0.28,0.27,0.25,0.25,0.19,0.24,0.11
d_1,0.34,0.33,0.92,0.23,0.24,0.2,0.3,0.18,0.23,0.5,0.3,0.27,0.32,0.19,0.26,0.18
c_1,0.36,0.29,0.32,0.9,0.46,0.19,0.28,0.24,0.24,0.15,0.16,0.23,0.31,0.18,0.22,0.15
b_1,0.31,0.29,0.3,0.35,0.89,0.36,0.28,0.27,0.22,0.26,0.17,0.23,0.26,0.14,0.25,0.16
a_1,0.36,0.32,0.32,0.31,0.24,0.88,0.36,0.3,0.24,0.29,0.3,0.24,0.28,0.15,0.26,0.17
h_1,0.49,0.34,0.34,0.35,0.27,0.19,0.65,0.31,0.32,0.28,0.26,0.23,0.24,0.2,0.35,0.18
d_0,0.39,0.35,0.24,0.6,0.29,0.15,0.36,0.49,0.21,0.22,0.24,0.27,0.29,0.21,0.29,0.2
g_1,0.37,0.31,0.53,0.31,0.26,0.19,0.31,0.22,0.6,0.28,0.27,0.38,0.28,0.19,0.19,0.19
c_0,0.41,0.39,0.41,0.25,0.18,0.17,0.36,0.33,0.24,0.52,0.56,0.27,0.33,0.3,0.31,0.22
b_0,0.41,0.38,0.41,0.32,0.16,0.14,0.4,0.36,0.27,0.36,0.49,0.31,0.32,0.44,0.32,0.22
f_0,0.28,0.3,0.38,0.34,0.34,0.19,0.4,0.35,0.28,0.33,0.3,0.46,0.33,0.21,0.26,0.4
h_0,0.49,0.33,0.37,0.33,0.31,0.16,0.26,0.27,0.36,0.26,0.25,0.26,0.26,0.2,0.34,0.17
a_0,0.41,0.37,0.38,0.37,0.27,0.13,0.39,0.35,0.26,0.29,0.29,0.27,0.33,0.42,0.27,0.18
g_0,0.33,0.34,0.5,0.36,0.27,0.21,0.33,0.29,0.2,0.3,0.29,0.39,0.31,0.19,0.19,0.21
e_0,0.43,0.25,0.41,0.33,0.29,0.19,0.41,0.29,0.32,0.3,0.31,0.27,0.36,0.21,0.27,0.47
