,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.37,0.7,0.78,0.69,0.7,0.22,0.14,0.15,0.22,0.15,0.17,0.13,0.11,0.3,0.12
f_1,0.62,0.16,0.7,0.51,0.73,0.6,0.16,0.16,0.13,0.23,0.14,0.27,0.12,0.07,0.14,0.12
c_1,0.53,0.67,0.16,0.84,0.62,0.65,0.23,0.07,0.25,0.19,0.15,0.13,0.12,0.09,0.11,0.1
d_1,0.86,0.84,0.65,0.15,0.63,0.57,0.14,0.28,0.12,0.11,0.11,0.12,0.15,0.09,0.12,0.06
b_1,0.68,0.77,0.35,0.68,0.14,0.71,0.19,0.15,0.16,0.23,0.3,0.16,0.16,0.11,0.11,0.1
a_1,0.77,0.71,0.85,0.75,0.33,0.09,0.18,0.16,0.12,0.23,0.13,0.18,0.64,0.1,0.14,0.09
h_1,0.57,0.59,0.49,0.47,0.47,0.46,0.06,0.13,0.11,0.15,0.11,0.1,0.1,0.13,0.11,0.08
d_0,0.29,0.51,0.62,1.02,0.5,0.62,0.17,0.07,0.12,0.19,0.13,0.1,0.1,0.09,0.11,0.09
c_0,0.56,0.52,1.06,0.28,0.57,0.55,0.14,0.15,0.06,0.14,0.12,0.1,0.11,0.09,0.14,0.07
g_1,0.61,0.63,0.5,0.45,0.63,0.51,0.1,0.13,0.1,0.05,0.09,0.11,0.09,0.06,0.12,0.12
b_0,0.46,0.54,0.67,0.51,0.97,0.52,0.15,0.1,0.06,0.14,0.05,0.08,0.1,0.07,0.11,0.07
f_0,0.42,1.18,0.55,0.51,0.54,0.48,0.16,0.12,0.09,0.09,0.12,0.05,0.1,0.07,0.11,0.05
a_0,0.44,0.53,0.57,0.51,0.68,0.82,0.16,0.11,0.09,0.15,0.05,0.1,0.04,0.08,0.1,0.09
h_0,0.52,0.5,0.53,0.53,0.57,0.4,0.22,0.11,0.1,0.14,0.12,0.11,0.1,0.1,0.09,0.07
e_0,0.73,0.76,0.47,0.6,0.54,0.37,0.14,0.1,0.11,0.14,0.11,0.05,0.1,0.07,0.04,0.07
g_0,0.5,0.57,0.58,0.53,0.47,0.45,0.1,0.13,0.1,0.22,0.1,0.11,0.1,0.06,0.11,0.11
