,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,10.08,9.66,9.83,12.86,11.52,2.26,2.12,1.87,3.8,1.99,9.35,1.24,2.07,2.09,2.21
e_1,5.95,1.14,13.94,11.2,14.18,13.44,3.36,2.32,2.16,3.59,1.81,2.56,1.34,3.04,12.14,1.59
d_1,10.4,14.14,1.14,14.97,11.81,11.78,2.93,9.97,2.43,2.12,2.58,2.17,1.47,2.36,2.25,1.07
c_1,10.84,10.77,12.99,1.14,14.05,17.04,4.22,1.3,9.71,3.03,2.56,2.18,1.92,2.29,2.41,2.08
b_1,14.82,14.54,13.36,6.8,1.15,10.75,3.98,2.97,4.09,4.7,14.26,2.47,2.13,2.87,2.72,2.05
a_1,23.58,21.17,17.65,25.63,8.24,1.15,9.22,6.37,3.53,6.8,4.55,5.07,3.17,15.64,5.23,3.43
h_1,47.78,26.23,30.92,28.35,26.05,21.17,1.88,4.88,5.78,9.32,6.95,5.18,9.51,5.21,4.36,3.29
d_0,35.95,17.49,92.77,34.83,30.18,34.36,8.91,2.65,7.44,8.76,6.45,9.0,5.93,6.14,7.08,5.65
c_0,34.91,42.59,16.0,103.35,36.72,27.95,10.05,11.66,2.53,14.1,7.04,6.36,4.4,6.88,5.48,4.6
g_1,62.6,37.71,33.13,42.16,31.42,36.77,8.71,8.0,9.18,1.93,9.03,9.54,5.53,6.62,7.91,15.33
b_0,44.83,38.11,33.82,52.52,101.6,36.77,10.32,9.05,4.21,12.3,2.62,6.19,5.31,6.14,7.08,5.55
f_0,151.29,44.15,40.09,51.68,49.97,38.81,12.44,9.56,9.85,6.72,8.47,2.59,6.29,5.73,10.62,3.35
h_0,55.02,57.46,47.75,61.62,49.97,47.64,35.64,9.97,11.36,15.21,13.9,9.35,20.45,10.12,10.3,8.47
a_0,58.56,54.03,72.16,71.2,84.67,161.23,17.42,14.64,12.18,15.21,6.69,13.63,13.63,2.84,12.14,8.26
e_0,110.03,190.53,49.2,54.31,64.85,48.74,15.37,14.04,10.15,17.52,11.29,5.55,11.05,20.24,2.68,10.39
g_0,90.78,67.04,69.09,80.1,78.15,48.74,12.25,16.38,12.64,36.12,13.9,11.92,8.52,10.12,12.59,15.33
