,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.06,1.4,2.43,2.27,2.23,1.65,0.99,0.93,0.84,0.78,0.74,0.71,0.63,0.56,1.01,0.51
f_1,2.57,1.06,2.17,2.48,1.87,1.96,0.64,0.83,0.59,0.59,0.92,0.6,0.5,0.36,0.48,0.55
d_1,2.34,2.64,1.06,2.13,2.34,2.03,0.88,0.66,0.68,1.13,0.57,0.62,0.56,0.47,0.68,0.33
c_1,2.31,2.36,3.17,1.06,2.74,2.49,0.98,0.78,0.79,0.49,0.68,0.62,0.72,0.63,0.65,0.53
b_1,2.68,3.34,2.69,1.66,1.07,3.04,1.21,1.03,1.0,0.86,0.89,1.57,0.82,0.7,0.62,0.7
a_1,3.92,3.71,3.4,3.58,2.05,1.07,1.46,1.54,1.11,1.47,1.09,1.19,1.95,0.89,1.06,0.94
h_1,5.56,6.97,5.07,5.28,5.22,4.71,1.34,2.87,1.72,1.72,1.62,1.61,1.51,1.79,1.5,1.46
g_1,6.33,7.38,7.06,6.51,5.89,5.09,1.9,1.34,1.92,1.69,2.1,1.78,1.74,1.16,1.68,1.9
c_0,6.46,8.73,4.73,15.15,7.35,6.08,2.88,2.66,1.55,2.51,2.04,2.76,2.33,1.8,2.13,1.77
d_0,5.0,7.92,9.35,9.04,7.83,5.2,3.02,3.32,2.22,1.57,1.95,2.18,2.22,2.14,2.07,1.7
f_0,8.21,13.28,7.89,8.21,7.79,6.3,3.37,2.3,2.31,2.46,1.51,2.09,2.42,1.92,2.4,1.23
b_0,7.82,9.05,7.25,10.68,11.6,6.56,2.8,3.32,1.33,2.35,2.45,1.53,2.49,2.01,1.74,1.74
a_0,10.15,10.29,9.53,10.08,12.12,9.28,3.71,3.83,2.38,2.71,2.84,1.69,1.55,2.48,1.94,2.06
h_0,9.43,11.93,12.27,10.33,8.26,6.95,4.39,3.55,2.57,2.52,2.74,2.69,2.61,2.86,2.23,2.21
e_0,15.52,14.24,9.23,11.15,12.38,7.44,3.71,5.19,3.08,3.15,1.68,3.02,3.09,2.74,1.57,1.97
g_0,11.64,12.33,12.39,12.06,10.95,9.2,3.46,4.61,2.88,3.48,3.74,3.05,3.14,2.13,3.04,2.9
