,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.65,0.71,0.96,0.99,0.95,0.83,0.44,0.45,0.35,0.42,0.35,0.42,0.34,0.3,0.39,0.31
f_1,1.02,0.65,0.92,0.97,0.85,0.83,0.33,0.43,0.33,0.35,0.33,0.32,0.32,0.22,0.24,0.27
d_1,1.01,1.03,0.64,0.85,0.92,0.81,0.4,0.35,0.38,0.41,0.34,0.33,0.3,0.26,0.34,0.2
c_1,0.88,1.03,1.23,0.62,1.11,0.85,0.49,0.4,0.41,0.24,0.36,0.36,0.33,0.27,0.37,0.3
b_1,1.01,1.13,1.03,0.73,0.61,1.18,0.64,0.53,0.43,0.4,0.46,0.39,0.37,0.31,0.38,0.31
a_1,1.29,1.28,1.3,1.15,0.72,0.56,0.62,0.6,0.53,0.52,0.53,0.46,0.51,0.45,0.4,0.37
h_1,1.53,1.72,1.53,1.53,1.23,1.2,0.54,0.71,0.56,0.6,0.5,0.5,0.47,0.48,0.48,0.44
g_1,1.62,1.66,1.64,1.73,1.51,1.25,0.62,0.53,0.61,0.59,0.56,0.58,0.52,0.41,0.56,0.5
c_0,1.9,1.98,1.27,2.24,1.72,1.36,0.79,0.74,0.53,0.88,0.7,0.59,0.58,0.51,0.64,0.46
d_0,1.26,1.7,1.99,2.16,1.81,1.53,0.87,0.75,0.67,0.55,0.65,0.62,0.66,0.52,0.72,0.58
b_0,1.74,1.91,1.71,2.04,2.06,1.43,0.86,0.77,0.46,0.69,0.53,0.55,0.68,0.55,0.59,0.46
f_0,1.74,2.19,1.95,1.84,1.7,1.69,0.84,0.67,0.65,0.71,0.74,0.54,0.63,0.58,0.88,0.42
a_0,1.97,2.09,1.88,2.1,2.34,1.84,0.99,0.91,0.69,0.75,0.47,0.66,0.54,0.54,0.63,0.45
h_0,1.97,2.3,2.1,2.11,1.96,1.61,1.03,0.92,0.73,0.75,0.66,0.64,0.63,0.7,0.62,0.6
e_0,2.38,2.99,1.96,2.1,2.12,1.92,1.01,0.81,0.75,0.79,0.78,0.41,0.73,0.6,0.49,0.54
g_0,2.27,2.4,2.27,2.08,2.15,1.89,0.88,1.07,0.83,0.8,0.8,0.78,0.85,0.57,0.74,0.62
