,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,23.76,0.3,0.34,0.4,0.32,0.36,0.77,1.47,0.58,0.74,0.81,0.88,0.95,0.61,0.97,0.17
f_1,0.63,24.8,0.38,0.3,0.32,0.24,0.74,0.73,0.69,0.82,0.79,0.18,1.06,0.73,0.73,0.52
d_1,0.38,0.38,27.14,0.27,0.32,0.26,0.72,0.16,1.02,1.63,0.76,0.85,0.76,0.94,0.84,0.72
c_1,0.27,0.34,0.29,28.01,0.82,0.26,0.78,0.9,0.6,0.21,0.77,0.65,0.89,0.76,0.82,0.75
b_1,0.27,0.32,0.34,0.34,32.48,0.83,0.61,0.92,0.61,0.72,0.19,0.87,0.62,0.81,0.58,1.16
a_1,0.33,0.43,0.27,0.43,0.32,46.18,0.66,0.84,0.62,0.69,0.6,0.71,0.74,0.11,0.91,0.83
h_1,0.5,0.94,0.6,0.54,0.45,0.8,10.52,1.36,1.72,1.52,1.64,1.34,0.5,1.21,2.45,2.1
d_0,0.61,0.75,0.16,1.66,0.55,0.61,1.54,5.06,1.08,0.97,1.46,1.7,1.87,1.54,1.53,1.59
g_1,0.58,0.56,1.17,0.54,0.58,0.33,1.2,1.2,13.09,1.31,1.59,2.03,1.65,1.47,0.57,1.51
c_0,0.6,0.79,0.73,0.26,0.42,0.79,1.9,1.05,1.4,6.35,3.38,2.3,2.19,1.62,2.27,1.77
b_0,0.69,0.65,0.8,0.63,0.19,0.69,1.45,1.58,1.31,1.49,7.05,1.72,2.0,3.35,1.82,1.72
f_0,0.54,0.29,0.67,0.89,0.57,0.82,1.43,1.58,1.66,1.41,1.72,7.15,1.92,2.29,2.06,3.78
h_0,0.63,0.94,0.74,0.69,0.63,0.49,0.5,1.2,2.02,1.16,1.96,1.54,0.62,1.5,1.77,1.42
a_0,0.64,0.81,0.76,0.71,0.57,,1.32,1.42,1.55,1.43,2.27,1.67,2.34,9.64,1.73,1.82
g_0,0.6,0.48,1.2,0.61,0.63,0.58,1.14,1.18,0.57,0.94,1.36,2.84,1.43,1.42,0.8,2.03
e_0,0.13,0.67,0.76,1.14,0.58,0.83,0.95,1.03,1.13,1.35,1.57,2.08,1.33,1.66,1.62,9.41
