,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.98,1.43,1.89,4.4,18.4,29.25,25.96,39.45,32.61,53.0,76.5,87.3,105.35,109.49
f_1,1.24,1.0,0.94,1.23,1.54,3.8,13.85,25.57,23.8,26.55,29.79,36.1,54.85,83.26,71.32,95.83
d_1,0.99,1.09,1.0,1.19,1.57,3.73,16.47,20.02,32.59,30.08,34.34,40.18,68.63,80.41,94.58,85.0
c_1,0.68,0.83,0.85,1.0,2.03,2.93,12.09,20.89,18.44,16.4,22.81,30.31,59.69,72.35,64.38,78.1
b_1,0.52,0.64,0.63,0.5,1.0,3.88,9.47,14.57,16.61,13.29,16.93,21.0,42.38,43.53,52.21,61.16
a_1,0.23,0.26,0.27,0.34,0.26,1.0,4.3,5.69,5.94,7.38,8.89,9.74,20.48,20.52,24.39,26.73
h_1,0.06,0.07,0.06,0.08,0.11,0.23,1.0,1.73,1.53,1.56,1.8,2.31,4.35,5.56,5.75,7.1
g_1,0.04,0.04,0.05,0.05,0.07,0.17,0.59,1.0,1.0,0.92,1.2,2.02,2.8,3.7,3.77,3.99
c_0,0.04,0.04,0.03,0.06,0.06,0.16,0.65,0.95,1.0,1.15,1.57,1.5,2.76,3.61,3.69,3.98
d_0,0.03,0.04,0.03,0.06,0.08,0.14,0.63,1.03,0.82,1.0,1.03,1.46,2.57,3.43,3.29,4.02
b_0,0.03,0.03,0.03,0.05,0.06,0.11,0.55,0.8,0.62,0.95,1.0,1.28,2.58,3.99,3.0,3.24
f_0,0.02,0.03,0.02,0.04,0.05,0.1,0.42,0.51,0.64,0.67,0.77,1.0,1.81,2.32,3.42,1.92
h_0,0.01,0.02,0.01,0.02,0.02,0.05,0.23,0.35,0.35,0.39,0.39,0.56,1.0,1.22,1.35,1.73
a_0,0.01,0.01,0.01,0.01,0.02,0.05,0.18,0.3,0.27,0.28,0.26,0.44,0.81,1.0,0.94,1.13
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.24,0.24,0.29,0.34,0.32,0.7,1.03,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.14,0.26,0.26,0.25,0.31,0.49,0.58,0.85,0.96,1.0
