,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.87,1.43,1.13,1.42,1.26,0.62,0.53,0.44,0.41,0.58,0.58,0.41,0.42,0.63,0.51
f_1,1.34,0.67,1.3,1.2,1.17,0.98,0.41,0.51,0.4,0.4,0.51,0.5,0.3,0.45,0.35,0.4
c_1,1.07,1.37,0.65,1.83,1.45,1.14,0.58,0.3,0.64,0.43,0.55,0.43,0.35,0.39,0.49,0.35
d_1,1.62,1.42,1.18,0.64,1.26,1.26,0.62,0.82,0.54,0.58,0.45,0.46,0.39,0.47,0.41,0.27
b_1,1.4,1.52,0.9,1.53,0.62,1.74,0.7,0.62,0.56,0.92,0.62,0.63,0.5,0.56,0.47,0.37
a_1,1.78,2.16,1.67,1.57,0.89,0.57,0.78,0.75,0.75,0.81,0.75,0.56,0.54,0.89,0.61,0.56
h_1,1.92,2.55,1.92,1.86,2.05,1.72,0.57,0.71,0.72,0.67,0.77,0.71,0.71,0.66,0.7,0.59
d_0,1.42,2.15,2.55,2.98,2.04,1.93,1.14,0.62,0.73,0.78,1.16,0.72,0.7,0.69,0.88,0.72
c_0,2.63,2.51,3.86,1.39,2.23,1.71,0.99,1.04,0.59,0.84,0.87,0.8,0.65,0.75,0.8,0.56
b_0,2.27,2.83,3.43,1.92,2.73,1.84,1.0,0.9,0.58,0.56,0.93,0.79,0.69,0.96,0.85,0.73
g_1,2.52,2.78,2.61,2.29,2.57,2.32,0.95,0.85,0.78,0.83,0.51,0.8,0.48,0.66,0.67,0.85
f_0,2.3,3.77,3.07,2.37,2.29,2.06,1.08,0.94,0.83,0.87,0.8,0.54,0.71,0.8,1.02,0.47
h_0,2.44,3.13,2.68,2.38,2.41,1.85,1.63,0.96,0.87,0.98,1.3,0.82,0.87,0.91,0.8,0.77
a_0,2.64,2.47,3.42,2.44,3.0,2.95,1.41,1.12,0.82,0.53,1.08,1.0,0.81,0.56,0.84,0.8
e_0,3.43,3.38,2.55,2.56,2.59,2.11,1.12,1.01,0.94,1.02,1.16,0.51,0.83,1.01,0.55,0.68
g_0,2.55,2.88,3.04,2.96,2.88,2.34,1.09,0.95,1.0,0.88,1.35,1.02,0.66,0.92,0.91,0.87
