,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.88,0.62,1.07,1.07,0.98,1.14,1.13,1.15,0.84,1.02,1.11,1.36,,1.18,1.2
d_1,1.14,1.0,1.05,0.94,0.99,1.36,1.02,0.83,,1.36,0.99,0.82,1.07,1.14,0.9,0.67
f_1,1.61,0.95,1.0,1.0,1.0,0.8,0.83,1.12,1.14,0.98,0.88,,0.7,0.9,0.95,1.06
c_1,0.93,1.06,1.0,1.0,1.48,0.85,1.04,1.17,0.77,,0.87,1.08,1.24,0.91,1.03,0.92
b_1,0.94,1.01,1.0,0.68,1.0,1.3,1.06,0.96,1.15,1.29,,0.94,1.04,0.84,,1.14
a_1,1.02,0.74,1.25,1.18,0.77,1.0,1.21,0.97,0.76,0.94,1.0,1.06,0.95,1.11,,1.21
h_1,0.88,0.98,1.21,0.96,0.94,0.82,1.0,1.35,0.92,1.07,0.72,0.7,,1.34,0.97,1.32
g_1,0.89,1.2,0.89,0.86,1.04,1.03,0.74,1.0,1.11,1.02,1.15,1.78,0.77,0.98,1.0,
d_0,0.87,,0.88,1.3,0.87,1.31,1.09,0.9,1.0,1.06,0.85,0.92,1.08,1.12,0.88,1.02
c_0,1.19,0.73,1.02,,0.77,1.06,0.93,0.98,0.94,1.0,1.31,1.31,1.08,0.87,0.94,1.03
b_0,0.98,1.01,1.14,1.15,,1.0,1.39,0.87,1.17,0.76,1.0,0.89,0.77,0.68,1.4,0.97
f_0,0.9,1.22,,0.92,1.06,0.94,1.44,0.56,1.09,0.76,1.12,1.0,1.08,1.41,0.97,0.84
h_0,0.74,0.94,1.43,0.81,0.96,1.05,,1.3,0.93,0.93,1.29,0.93,,0.91,0.94,0.96
e_0,,0.88,1.11,1.1,1.19,0.9,0.75,1.02,0.89,1.15,1.47,0.71,1.1,1.0,,1.11
a_0,0.85,1.11,1.05,0.97,,,1.04,1.0,1.14,1.06,0.72,1.03,1.07,,1.0,0.92
g_0,0.83,1.5,0.94,1.09,0.87,0.83,0.76,,0.98,0.97,1.03,1.19,1.04,0.9,1.09,
