,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.91,0.32,0.48,0.25,0.27,0.18,0.25,0.29,0.26,0.22,0.25,0.11,0.18,0.26,0.13,0.21
c_1,0.34,0.91,0.28,0.53,0.27,0.18,0.22,0.3,0.12,0.22,0.14,0.2,0.15,0.25,0.15,0.21
e_1,0.39,0.4,0.9,0.29,0.22,0.16,0.29,0.54,0.26,0.2,0.25,0.22,0.18,0.27,0.08,0.22
b_1,0.34,0.31,0.28,0.9,0.28,0.36,0.28,0.26,0.25,0.22,0.15,0.21,0.13,0.23,0.18,0.2
d_1,0.33,0.22,0.32,0.27,0.91,0.21,0.26,0.2,0.51,0.22,0.32,0.29,0.21,0.28,0.19,0.25
a_1,0.37,0.32,0.33,0.26,0.33,0.89,0.27,0.26,0.26,0.21,0.25,0.24,0.1,0.25,0.18,0.23
h_1,0.48,0.41,0.32,0.3,0.33,0.18,0.62,0.31,0.27,0.31,0.25,0.22,0.19,0.21,0.15,0.31
d_0,0.41,0.61,0.31,0.36,0.2,0.15,0.28,0.49,0.2,0.21,0.2,0.24,0.18,0.33,0.2,0.23
c_0,0.4,0.28,0.35,0.24,0.35,0.21,0.31,0.33,0.55,0.24,0.53,0.29,0.3,0.33,0.22,0.26
g_1,0.36,0.35,0.31,0.29,0.52,0.17,0.23,0.26,0.32,0.6,0.25,0.35,0.2,0.3,0.17,0.18
b_0,0.45,0.38,0.33,0.2,0.34,0.17,0.31,0.36,0.34,0.25,0.48,0.25,0.48,0.31,0.19,0.28
f_0,0.37,0.4,0.29,0.34,0.32,0.23,0.32,0.38,0.36,0.22,0.27,0.47,0.23,0.31,0.36,0.26
a_0,0.48,0.4,0.38,0.3,0.3,0.16,0.31,0.37,0.27,0.27,0.3,0.25,0.46,0.36,0.2,0.24
h_0,0.55,0.36,0.3,0.32,0.33,0.2,0.19,0.33,0.26,0.32,0.26,0.23,0.22,0.22,0.21,0.31
e_0,0.47,0.34,0.21,0.33,0.36,0.22,0.34,0.26,0.31,0.24,0.27,0.25,0.23,0.33,0.42,0.3
g_0,0.34,0.33,0.27,0.31,0.49,0.24,0.32,0.32,0.34,0.17,0.29,0.39,0.21,0.33,0.26,0.22
