,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.42,1.05,1.24,1.75,4.91,15.39,26.36,32.97,31.19,44.79,42.49,66.79,88.27,118.82,98.87
e_1,0.7,1.0,0.98,1.41,1.72,3.24,18.19,28.76,32.53,45.46,42.45,57.52,80.26,97.36,102.22,133.02
d_1,0.95,1.02,1.0,1.03,1.62,3.1,15.56,36.34,22.6,27.59,43.19,42.98,69.09,69.94,74.5,117.08
c_1,0.81,0.71,0.98,1.0,1.96,3.18,15.72,18.94,24.13,19.24,30.12,34.73,63.4,66.56,87.49,88.54
b_1,0.56,0.58,0.62,0.51,1.0,3.23,10.24,17.36,16.56,18.66,28.84,26.07,47.56,49.7,51.43,60.91
a_1,0.21,0.31,0.32,0.31,0.31,1.0,4.25,7.9,9.53,9.12,12.49,12.3,20.91,21.78,27.99,30.01
h_1,0.07,0.05,0.07,0.06,0.1,0.22,1.0,1.55,2.16,1.92,2.87,2.53,4.29,4.55,7.27,6.72
c_0,0.04,0.03,0.03,0.05,0.06,0.13,0.66,1.0,1.28,1.46,2.27,1.7,2.76,3.57,3.24,4.01
g_1,0.03,0.03,0.04,0.04,0.06,0.1,0.47,0.77,1.0,0.91,1.35,1.66,1.84,2.95,2.55,4.15
d_0,0.03,0.02,0.04,0.05,0.05,0.12,0.53,0.69,1.09,1.0,1.42,1.43,2.45,2.79,3.61,3.84
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.35,0.44,0.75,0.74,1.0,1.03,1.79,3.22,2.42,2.75
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.41,0.57,0.57,0.68,0.85,1.0,1.57,2.1,1.54,3.78
h_0,0.02,0.01,0.01,0.02,0.02,0.05,0.23,0.35,0.57,0.41,0.54,0.59,0.99,1.05,1.43,1.21
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.23,0.29,0.33,0.36,0.34,0.49,1.0,1.0,1.27,1.57
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.31,0.39,0.28,0.42,0.66,0.7,0.73,1.0,1.22
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.25,0.23,0.25,0.37,0.26,0.79,0.67,0.8,1.0
