,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.03,0.88,0.82,0.99,0.98,1.15,1.43,0.84,1.31,1.16,0.93,0.98,0.95,0.85,1.22
f_1,0.97,1.0,1.33,0.93,0.94,0.82,0.92,0.93,1.09,1.08,0.96,0.75,0.82,0.96,0.9,0.87
e_1,1.14,0.75,1.0,1.08,1.06,1.1,0.96,0.96,0.9,1.28,1.06,1.2,1.0,0.98,1.06,1.04
c_1,1.21,1.07,0.93,1.0,1.53,0.9,0.79,0.62,0.9,0.7,0.75,0.87,1.08,0.95,1.03,1.15
b_1,1.01,1.07,0.95,0.65,1.0,1.65,1.17,1.04,1.01,0.87,1.41,1.14,1.11,0.85,1.07,0.95
a_1,1.02,1.22,0.91,1.11,0.61,1.0,1.09,1.1,1.03,0.96,1.21,1.17,1.19,1.03,1.18,0.83
h_1,0.89,1.08,1.04,1.25,0.86,0.9,1.0,0.89,1.3,0.92,0.9,1.02,1.04,0.9,1.21,0.84
c_0,0.71,1.01,1.12,1.46,0.95,0.98,1.11,1.0,1.21,1.15,1.41,1.0,1.17,1.29,1.31,1.01
g_1,1.16,0.98,1.05,1.14,0.98,0.92,0.78,0.89,1.0,0.8,0.91,1.04,0.91,0.98,0.92,0.84
d_0,0.73,0.93,0.76,1.52,1.16,1.0,1.04,0.89,1.19,1.0,1.08,0.86,0.99,0.94,0.83,0.78
b_0,0.82,1.07,0.95,1.42,0.72,0.88,1.14,0.73,1.07,0.86,1.0,1.19,1.12,1.53,1.1,0.98
f_0,1.06,1.27,0.8,1.21,0.86,0.85,0.97,1.02,1.01,1.11,0.89,1.0,1.04,1.11,0.82,1.37
h_0,0.98,1.21,0.97,0.97,0.94,0.82,0.96,0.86,1.12,1.02,0.85,0.98,1.0,0.96,1.19,0.94
a_0,0.97,1.06,1.02,1.2,1.14,,1.14,0.81,0.98,1.21,0.66,0.97,1.03,1.0,1.08,1.0
g_0,1.11,1.0,0.91,1.01,0.91,0.82,0.84,0.78,1.11,1.09,0.85,1.19,0.81,0.91,1.0,1.08
e_0,0.88,1.22,1.13,0.89,0.97,1.2,1.21,0.99,1.17,1.21,0.98,0.69,1.02,1.09,0.88,1.0
