,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.94,4.27,2.48,2.84,2.59,2.67,10.55,9.78,13.94,11.46,11.81,9.57,18.81,13.67,11.03,18.83
e_1,2.83,6.24,2.57,3.68,2.54,2.6,10.72,11.08,21.95,12.81,14.08,14.01,20.31,14.96,12.15,20.15
d_1,2.81,2.74,6.42,2.32,2.74,2.99,11.14,10.65,8.42,23.69,15.64,14.09,21.25,15.39,17.33,22.52
c_1,2.54,2.43,2.75,7.26,5.2,3.27,9.11,9.41,11.9,10.5,10.31,13.0,19.16,12.2,14.43,17.87
b_1,2.74,2.48,2.73,3.11,8.09,5.34,9.84,9.09,11.95,13.28,10.62,13.38,20.31,11.43,15.9,19.58
a_1,2.99,2.92,3.06,2.89,2.76,10.54,11.05,12.19,13.16,13.75,12.98,14.1,20.38,11.82,14.31,23.26
h_1,4.07,2.97,3.05,3.12,2.85,2.57,18.13,13.61,13.05,13.11,15.03,14.73,18.12,15.1,18.28,28.35
g_1,2.51,2.93,4.19,3.07,2.93,2.81,10.76,22.35,13.12,14.69,15.22,22.43,18.34,17.15,17.76,21.5
d_0,2.82,2.98,2.38,5.24,3.49,2.79,9.91,10.82,20.13,9.13,11.52,13.98,20.66,14.25,16.34,19.65
c_0,3.06,3.06,3.18,2.94,2.5,2.72,12.32,12.71,14.24,19.27,25.15,16.76,24.68,20.07,19.39,25.72
b_0,3.32,3.17,3.13,3.03,2.59,2.84,11.78,12.93,13.78,14.59,22.74,16.02,22.37,31.05,17.27,22.29
f_0,2.67,2.48,3.3,3.1,3.32,3.68,11.06,11.28,13.98,17.31,14.39,24.39,24.53,16.87,32.72,26.67
h_0,3.51,2.89,3.41,3.02,2.87,3.07,9.41,13.34,12.2,14.46,14.35,14.53,18.01,18.29,13.98,30.34
a_0,2.9,2.81,3.1,3.31,3.8,2.18,13.01,13.59,13.96,15.69,15.47,18.44,23.09,29.75,20.43,21.62
e_0,2.85,2.2,3.23,3.54,3.34,3.12,11.84,12.19,13.62,16.66,16.83,16.17,26.47,16.85,28.94,27.72
g_0,2.82,2.64,4.34,2.84,3.05,3.0,10.81,9.31,11.38,15.49,13.99,19.75,23.5,16.85,18.48,17.79
