,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.1,2.64,2.8,2.92,2.56,2.38,0.62,1.0,0.58,0.62,0.99,0.58,0.34,0.52,0.59,0.55
e_1,1.74,1.1,3.46,3.38,3.42,3.49,0.93,0.95,0.61,0.63,0.86,0.6,0.42,0.92,0.63,0.48
d_1,3.45,3.5,1.09,3.29,2.97,2.75,0.89,0.56,0.6,0.96,0.54,0.62,0.41,0.58,0.5,0.28
c_1,3.46,2.75,4.77,1.12,3.92,3.35,1.02,1.13,1.07,0.39,0.68,0.71,0.44,0.82,0.75,0.5
b_1,4.65,4.21,3.54,2.01,1.11,3.39,1.03,1.1,1.13,0.87,0.74,1.1,0.74,0.83,0.84,0.6
a_1,6.35,6.88,5.97,5.76,3.47,1.13,1.85,1.99,1.33,1.62,1.41,1.63,0.99,1.18,1.78,1.01
h_1,11.66,10.91,11.71,10.69,11.05,9.25,1.62,3.29,2.27,2.35,2.54,2.17,2.19,2.11,2.27,1.62
g_1,13.92,13.26,13.24,12.82,14.55,14.64,3.31,1.65,2.62,3.07,2.75,2.42,1.39,2.65,2.79,2.12
c_0,16.36,17.46,8.07,26.44,13.92,12.67,4.92,4.23,2.01,5.25,3.02,3.36,2.1,2.93,2.77,1.93
d_0,15.23,9.06,26.19,16.36,16.73,17.86,5.71,5.38,3.25,2.13,3.4,3.13,2.21,4.23,4.21,2.75
f_0,23.76,14.21,15.5,16.45,15.24,18.41,4.58,2.76,3.16,3.66,1.97,2.98,2.53,4.33,3.06,1.34
b_0,16.22,14.09,13.92,22.6,21.93,14.76,5.16,4.49,1.82,3.75,3.08,2.05,2.44,3.13,2.94,2.22
h_0,20.84,21.7,24.21,24.07,21.6,22.05,9.11,6.89,4.36,4.99,4.68,4.18,4.86,4.37,3.75,3.03
e_0,36.94,29.83,19.97,27.67,24.53,18.04,7.58,6.17,4.14,4.83,2.44,4.3,3.58,2.16,4.21,2.4
a_0,28.27,23.25,23.89,31.17,27.84,30.27,6.07,6.51,4.12,6.04,4.18,2.58,3.92,4.57,2.28,3.21
g_0,32.44,29.83,29.96,31.17,28.66,28.35,5.82,9.73,5.82,5.35,5.47,5.47,3.52,5.24,4.41,5.31
