,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.06,0.62,0.63,0.63,0.53,0.69,0.68,0.75,0.83,0.73,0.41,0.7,0.58,0.6,0.83
e_1,0.7,1.53,0.64,0.87,0.6,0.56,0.86,0.8,0.66,1.23,0.78,0.86,0.9,0.65,0.55,0.84
d_1,0.74,0.7,1.54,0.51,0.65,0.59,0.79,1.36,0.66,0.63,0.96,0.84,0.97,0.78,0.79,0.75
c_1,0.67,0.59,0.72,1.58,1.25,0.44,0.74,0.41,0.71,0.58,0.65,0.68,0.88,0.72,0.63,0.87
b_1,0.75,0.66,0.82,0.45,1.59,1.06,0.9,0.82,0.74,0.84,0.48,0.72,0.93,0.57,0.62,0.87
a_1,0.81,0.74,0.76,0.87,0.51,1.72,0.98,0.81,0.69,1.06,0.84,0.96,1.05,0.67,0.64,0.88
h_1,1.25,0.86,0.93,0.89,0.71,0.76,1.7,0.97,1.18,0.89,1.01,0.86,0.8,1.08,0.81,1.25
c_0,1.09,0.96,0.86,0.89,0.76,0.78,1.13,1.61,1.17,1.19,1.8,1.13,1.36,1.17,0.9,1.06
g_1,0.78,0.92,1.37,0.91,0.88,0.73,0.91,1.19,1.81,0.86,0.98,1.38,1.04,0.86,0.75,0.64
d_0,0.94,0.92,0.71,1.61,0.81,0.65,1.29,0.92,1.0,1.57,1.11,0.89,1.24,0.97,0.9,0.91
b_0,1.14,0.93,0.95,1.08,0.63,0.61,1.19,1.03,1.09,1.07,1.69,1.08,1.37,1.86,1.02,0.89
f_0,0.81,0.78,1.01,1.07,0.95,0.69,1.26,1.26,0.97,1.19,1.19,1.67,1.42,1.35,1.92,1.02
h_0,1.35,0.97,1.05,0.98,0.85,0.6,0.93,1.1,1.34,1.14,0.97,1.01,0.95,0.88,1.07,1.39
a_0,1.17,1.01,1.02,1.15,1.02,0.42,1.14,1.09,1.26,1.26,1.03,1.15,1.48,1.69,1.11,1.17
e_0,1.07,0.63,0.98,1.2,1.02,0.88,1.3,1.32,1.44,1.22,1.24,0.96,1.34,1.06,1.76,1.39
g_0,0.86,0.96,1.44,1.04,0.84,0.79,1.12,1.16,1.06,1.3,1.38,1.67,1.14,0.98,1.06,0.85
