,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,24.06,0.39,0.28,0.34,0.26,0.31,0.72,0.65,1.6,0.92,0.87,0.8,0.74,0.81,0.84,0.37
f_1,0.6,23.53,0.39,0.33,0.28,0.35,0.8,0.62,0.68,0.62,0.93,0.2,0.82,0.65,0.91,0.5
d_1,0.32,0.35,26.36,0.27,0.38,0.4,0.78,0.69,0.14,1.78,0.92,0.72,0.85,0.98,0.77,0.57
c_1,0.34,0.37,0.28,26.99,0.73,0.24,0.68,0.68,0.73,0.13,0.53,0.81,0.73,1.05,0.8,0.92
b_1,0.37,0.37,0.37,0.32,33.3,0.65,0.57,0.6,0.69,0.54,0.09,0.93,0.67,0.87,0.66,0.74
a_1,0.27,0.28,0.37,0.4,0.34,51.46,0.8,0.71,0.81,0.93,0.78,0.63,0.17,1.06,0.79,1.19
h_1,0.59,0.9,0.55,0.69,0.67,0.38,9.44,1.68,1.39,1.28,1.66,1.67,1.3,0.66,1.98,1.82
g_1,0.57,0.33,1.07,0.8,0.59,0.69,1.45,10.65,1.07,1.42,1.28,2.67,1.19,1.07,0.73,1.64
d_0,0.56,0.62,0.25,1.72,0.57,0.59,1.27,1.45,5.67,1.12,1.43,1.78,1.05,1.58,1.63,1.81
c_0,0.65,0.78,0.85,0.25,0.48,0.75,1.15,1.47,1.29,5.76,3.09,2.04,1.83,1.77,1.96,1.29
b_0,0.56,0.77,0.56,0.68,0.23,0.84,1.29,1.77,1.61,1.45,6.68,1.95,3.34,1.87,1.88,1.53
f_0,0.5,0.21,0.81,0.85,0.44,0.74,1.9,1.9,1.85,1.31,1.79,6.39,1.92,2.09,1.78,4.32
a_0,0.53,0.73,0.96,0.7,0.54,,1.79,1.6,1.73,1.36,1.95,1.5,8.97,1.18,2.03,1.9
h_0,0.48,1.04,0.77,0.63,0.63,0.7,0.45,1.68,1.22,1.41,1.31,0.96,1.86,0.58,2.48,1.37
g_0,0.67,0.46,1.06,0.52,0.69,0.7,0.97,0.86,1.63,1.51,1.3,2.93,1.64,1.98,0.81,1.54
e_0,0.13,0.91,0.66,0.76,0.95,0.68,1.32,1.56,2.02,1.5,1.66,1.59,1.09,2.11,1.66,8.96
