,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.83,0.48,0.52,0.44,0.31,0.36,0.33,0.3,0.34,0.31,0.21,0.28,0.25,0.18,0.24
e_1,0.56,0.95,0.55,0.63,0.45,0.35,0.4,0.36,0.34,0.55,0.33,0.32,0.32,0.27,0.2,0.25
d_1,0.68,0.56,0.95,0.49,0.45,0.35,0.38,0.29,0.53,0.25,0.36,0.3,0.3,0.26,0.24,0.24
c_1,0.62,0.5,0.58,0.95,0.8,0.37,0.39,0.32,0.25,0.28,0.27,0.34,0.31,0.25,0.23,0.27
b_1,0.68,0.59,0.64,0.46,0.95,0.61,0.43,0.34,0.37,0.32,0.25,0.33,0.31,0.21,0.24,0.26
a_1,0.72,0.63,0.73,0.67,0.51,0.94,0.47,0.34,0.39,0.38,0.37,0.35,0.37,0.26,0.3,0.35
h_1,1.05,0.82,0.89,0.75,0.68,0.49,0.78,0.55,0.43,0.47,0.45,0.47,0.44,0.41,0.32,0.48
g_1,0.81,0.8,1.21,0.82,0.68,0.54,0.58,0.78,0.6,0.5,0.49,0.64,0.51,0.4,0.42,0.39
c_0,1.1,0.95,0.81,0.76,0.66,0.57,0.7,0.49,0.71,0.61,0.86,0.49,0.5,0.5,0.41,0.47
d_0,0.94,0.72,0.88,1.35,0.81,0.55,0.63,0.52,0.4,0.7,0.45,0.51,0.53,0.4,0.38,0.39
b_0,1.06,0.93,0.88,1.06,0.71,0.44,0.74,0.55,0.46,0.62,0.71,0.48,0.59,0.72,0.46,0.48
f_0,1.08,0.85,1.04,0.88,0.81,0.59,0.67,0.51,0.54,0.59,0.58,0.7,0.57,0.44,0.71,0.41
h_0,1.26,0.96,1.11,0.93,0.91,0.58,0.6,0.67,0.61,0.56,0.5,0.53,0.43,0.43,0.41,0.57
a_0,1.1,0.99,1.09,1.06,0.94,0.44,0.72,0.61,0.59,0.62,0.48,0.52,0.67,0.66,0.44,0.51
e_0,1.41,0.9,1.1,0.99,0.93,0.49,0.81,0.56,0.65,0.6,0.56,0.47,0.69,0.5,0.67,0.46
g_0,1.08,0.96,1.39,0.99,0.99,0.62,0.64,0.48,0.63,0.57,0.55,0.77,0.56,0.53,0.52,0.47
