,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,94.06,69.28,76.33,86.61,99.61,249.31,6825.95,12250.39,14238.38,22702.33,33212.1,22412.53,93243.72,80817.16,115162.98,161943.56
e_1,46.14,96.9,69.76,77.65,111.25,278.19,7476.3,25201.67,20706.37,23942.98,43827.54,49191.43,125126.84,88747.0,152780.87,218504.85
c_1,35.74,38.85,130.6,92.01,166.54,253.65,6080.49,9689.19,14818.17,9152.48,23878.53,32212.5,85773.54,80975.21,83514.52,190210.12
d_1,38.67,40.58,41.76,174.16,79.58,186.05,6589.46,6857.35,11800.81,31756.26,33244.14,31634.86,101520.71,103471.46,92468.59,167294.14
b_1,32.0,32.4,40.07,74.2,202.69,424.75,4673.29,11159.36,10739.51,17782.36,14620.76,35444.4,90731.06,91215.3,68175.33,151731.57
a_1,28.41,24.19,36.47,60.14,42.95,453.99,4072.36,8668.8,8918.63,11754.82,22761.29,23285.82,68562.75,72218.45,46285.6,118682.37
h_1,14.33,10.62,16.46,22.3,30.03,64.72,3059.44,3217.02,5317.97,6223.16,8490.44,9838.49,19480.44,32235.88,24339.56,61585.07
d_0,10.46,6.98,24.9,14.42,24.63,48.07,1706.02,4262.37,4103.13,4188.22,7614.38,7730.95,25817.91,28382.34,26360.31,50602.16
g_1,8.66,6.56,12.09,26.43,22.41,57.79,1296.15,2479.88,6094.55,5011.79,7532.75,9997.34,19383.82,24714.7,19865.52,33686.42
c_0,9.36,8.39,11.88,16.04,14.03,49.41,1264.44,2682.79,3077.2,6485.03,12425.84,9259.84,20330.21,20140.01,23742.43,36176.98
b_0,8.33,7.0,11.68,14.38,16.84,35.39,1323.09,2187.15,2798.96,2981.71,9104.34,6848.1,16300.14,17607.85,30317.87,35627.27
f_0,5.06,5.59,11.59,14.86,17.44,47.03,1197.04,2423.66,2586.33,3182.75,5474.06,10276.98,17826.16,27856.07,15234.69,32923.69
h_0,6.18,5.01,8.03,9.98,12.52,33.37,609.09,1548.59,2449.59,3020.59,4201.52,4345.57,10584.09,14939.67,11534.75,35620.67
e_0,5.94,2.44,10.11,8.96,13.25,34.37,863.78,1317.12,1791.57,2814.27,3984.65,4631.42,12863.49,21611.97,10087.2,25380.72
a_0,4.9,4.48,8.97,9.2,12.7,22.0,856.17,1590.9,2073.21,2619.56,3346.36,4659.99,13627.32,14724.34,22256.99,28889.4
g_0,3.85,3.67,6.78,12.29,11.12,23.79,672.94,1196.84,1252.38,2224.94,3075.71,5631.41,8493.41,11411.99,8851.87,15637.13
