,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,11.14,0.73,0.55,0.95,0.61,0.54,0.95,2.15,0.92,0.86,1.14,1.03,1.16,1.09,0.97,0.64
f_1,1.53,11.35,0.64,0.62,0.56,0.57,0.87,0.86,0.77,0.77,0.95,0.55,0.83,0.99,0.84,0.53
d_1,0.6,0.65,16.45,0.46,0.5,0.67,0.95,0.48,2.71,1.17,1.15,1.15,1.12,1.07,1.11,1.09
c_1,0.52,0.61,0.64,14.99,1.76,0.56,0.86,0.87,0.4,0.81,0.57,0.89,0.86,0.94,0.91,1.13
b_1,0.56,0.68,0.63,0.56,16.21,1.8,0.82,0.91,0.85,0.78,0.53,0.8,0.9,0.59,0.96,1.01
a_1,0.66,0.75,0.66,0.74,0.59,22.16,1.13,0.82,0.73,1.06,0.9,0.9,0.89,0.44,1.14,1.1
h_1,0.66,1.17,0.83,0.74,0.76,0.75,3.24,1.02,0.81,1.46,1.07,1.06,0.89,0.85,1.58,1.08
d_0,0.63,0.7,0.5,2.33,0.83,0.63,0.99,2.15,0.67,0.88,1.01,1.2,0.96,1.01,0.93,1.15
c_0,0.75,0.82,0.87,0.49,0.48,0.81,1.37,1.02,2.31,1.1,3.43,1.39,1.42,1.52,1.18,0.99
g_1,0.65,0.52,1.58,0.76,0.56,0.64,1.06,0.92,1.41,5.7,1.24,2.58,1.01,1.19,0.61,1.46
b_0,0.64,1.0,1.01,0.8,0.45,0.52,1.14,0.78,1.11,1.27,2.91,1.26,1.33,3.03,1.06,1.17
f_0,0.39,0.51,1.06,0.93,0.97,0.92,1.22,1.05,1.28,1.19,1.18,3.07,1.42,1.12,1.09,4.04
h_0,0.67,1.29,0.92,0.77,0.62,0.7,0.72,0.98,1.02,1.33,1.42,0.95,0.74,1.12,1.54,1.11
a_0,0.82,0.74,0.92,0.79,0.88,0.47,1.29,1.17,1.1,1.02,1.22,1.07,1.38,3.72,1.06,1.04
g_0,0.4,0.53,1.85,0.77,0.94,0.71,0.95,0.74,1.23,0.79,1.21,2.41,1.2,1.11,0.86,1.88
e_0,0.43,0.94,0.71,0.82,0.95,1.01,1.12,1.02,1.01,1.05,1.0,1.31,1.29,1.04,0.91,3.79
