,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,8832.78,4549.19,4742.6,8560.0,12492.21,61862.36,4491169.1,34293540.61,15788492.24,22203035.06,49009657.1,71586456.54,104934370.05,218480451.71,147968631.73,498270662.35
f_1,5614.0,11610.09,5541.96,7007.08,9730.58,52139.45,4387978.51,17939284.31,14940950.93,23062911.88,40004191.53,32965907.47,119925152.42,212105746.14,145020108.26,360558423.7
d_1,3478.87,4355.98,16947.46,5517.96,10798.35,55364.22,5492587.01,11474333.56,16284163.32,44179803.36,49193635.27,70616565.54,137594557.0,217763001.78,267470697.17,499978504.51
c_1,3187.25,3794.17,5455.83,20894.82,23333.66,62249.4,4546898.79,17457642.54,12858052.39,12377862.34,28821590.34,65047343.86,110201776.25,210087022.81,210361442.32,475915722.02
b_1,2932.94,4281.24,5748.82,7280.54,42561.29,123919.81,4234752.03,18656162.86,14381389.69,20233129.58,25681920.65,60810316.18,89827473.98,204033685.37,259299730.84,362349026.68
a_1,3416.54,4991.99,5504.77,7647.96,13087.3,305599.09,5004351.41,15983952.44,14252834.73,24157133.91,44626894.92,68905929.46,74388923.1,202611343.02,228657264.83,388405246.23
h_1,4167.95,6530.64,6291.06,7099.52,13046.66,53327.64,10184159.3,18062858.91,20477147.77,22857314.1,45151909.69,62957797.53,136956539.62,181392180.28,253251838.29,648788038.62
d_0,3311.34,4591.3,4145.02,14409.08,14510.69,64106.95,4461516.38,33893653.62,16735510.09,17624427.63,47875389.34,72669372.68,140177398.93,237770136.83,222829829.51,399587594.03
g_1,3231.76,3899.91,9625.54,7834.9,13011.59,55269.73,5444880.35,16739047.79,41281248.75,29142160.54,48289491.0,110904642.61,145525102.61,233532951.06,309034418.27,410066719.58
c_0,3773.26,5293.89,7332.14,6719.58,8998.04,58320.33,5588000.98,21502729.37,18270589.55,45470164.94,94590163.18,83050711.64,183646269.03,251665794.18,258412142.21,540061993.97
b_0,3764.02,5378.44,6410.17,8311.25,10441.4,46058.1,6045262.9,21650631.75,20079493.45,28428568.94,83175115.71,78052289.18,281690858.03,264656875.69,280744055.73,519577714.86
f_0,2935.54,3478.87,7449.87,8595.0,16091.09,67384.8,5674462.52,22064108.93,18037254.53,26360869.07,55549869.96,134296581.96,148299278.35,250352343.34,521422994.68,625505116.4
a_0,4278.16,4899.39,6496.53,7993.65,13438.88,54804.72,5671750.37,21118752.06,16001762.82,25033254.02,43770688.49,79656812.36,293446944.66,256203038.07,267246745.36,452846236.37
h_0,3723.51,6192.73,7413.59,7439.02,12758.1,53077.03,3785733.38,19405845.73,23336336.96,27135847.32,44991878.62,72486326.4,138451447.27,199314660.25,251396755.2,711778467.25
e_0,2759.49,5439.27,7394.06,8263.91,13953.07,88500.08,4763593.95,17500056.81,16447581.72,27698997.14,56849643.53,78474914.85,144376590.89,293610093.21,504643240.68,557610558.22
g_0,3290.71,4194.82,9898.45,7236.22,15157.65,57398.69,5126475.52,16537705.54,12854438.8,26037296.4,42960889.82,114163364.94,121647198.33,241496519.27,320608015.31,381442249.88
