,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.14,0.11,0.1,0.09,0.06,0.07,0.05,0.06,0.06,0.06,,0.07,0.05,0.03,0.05
e_1,0.11,0.93,0.1,0.09,0.1,0.05,0.08,0.06,0.09,0.06,0.07,0.05,0.05,0.04,,0.05
c_1,0.1,0.09,0.93,0.12,0.12,0.08,0.08,0.06,0.06,,0.07,0.06,0.06,0.03,0.05,0.05
d_1,0.13,0.1,0.09,0.93,0.11,0.06,0.07,0.05,,0.1,0.08,0.05,0.07,0.05,0.05,0.03
b_1,0.11,0.1,0.1,0.09,0.93,0.12,0.08,0.06,0.07,0.08,,0.06,0.05,0.05,0.04,0.06
a_1,0.12,0.17,0.09,0.14,0.07,0.93,0.1,0.07,0.09,0.08,0.07,0.06,0.06,,0.05,0.05
h_1,0.35,0.26,0.24,0.32,0.28,0.14,0.71,0.18,0.19,0.19,0.16,0.13,,0.12,0.12,0.2
g_1,0.27,0.2,0.3,0.4,0.28,0.17,0.2,0.71,0.18,0.16,0.18,0.28,0.13,,0.15,
d_0,0.37,0.4,0.5,,0.27,0.18,0.25,0.2,0.57,0.23,0.17,0.24,0.24,0.13,0.11,0.2
c_0,0.39,0.39,,0.31,0.24,0.26,0.27,0.23,0.2,0.57,0.33,0.16,0.26,0.16,0.14,0.18
b_0,0.37,0.41,0.33,0.28,,0.22,0.23,0.23,0.23,0.2,0.57,0.24,0.24,0.24,0.17,0.22
f_0,,0.3,0.47,0.38,0.29,0.28,0.3,0.21,0.28,0.29,0.13,0.58,0.23,,0.23,0.17
h_0,0.59,0.6,0.5,0.39,0.37,0.29,,0.39,0.31,0.25,0.27,0.23,,0.22,0.16,0.31
a_0,0.44,0.43,0.46,0.38,0.44,,0.3,,0.23,0.23,0.24,,0.22,0.59,,0.15
e_0,0.45,,0.35,0.36,0.4,0.28,0.29,0.2,0.33,0.3,0.23,0.21,0.27,,0.58,0.18
g_0,0.59,0.53,0.44,0.78,0.38,0.37,0.32,,0.32,0.28,0.19,0.29,0.3,0.23,0.24,
