,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.4,1.28,1.68,1.06,1.23,1.14,2.14,2.45,2.6,2.5,3.07,1.66,2.56,3.17,2.35,3.33
c_1,1.18,2.5,1.07,2.01,1.34,1.11,2.03,2.4,1.38,2.35,1.66,2.29,2.23,3.21,2.52,3.34
e_1,1.2,1.56,2.53,1.25,0.95,1.08,2.84,4.31,2.59,2.2,2.86,2.86,2.61,3.52,1.56,3.59
b_1,1.31,1.06,1.19,2.6,1.27,1.97,2.53,2.3,2.65,2.58,2.0,2.74,2.29,3.02,3.23,3.07
d_1,1.24,0.86,1.38,1.16,2.65,1.28,2.24,2.07,4.26,2.13,3.24,3.48,3.29,3.65,2.97,3.09
a_1,1.35,1.27,1.27,1.02,1.42,3.2,2.63,2.43,2.45,2.37,3.14,2.92,2.13,3.05,3.06,3.45
h_1,1.65,1.61,1.18,1.23,1.38,1.21,4.24,2.87,2.68,3.44,3.04,2.77,2.9,3.24,2.75,4.22
d_0,1.44,2.16,1.1,1.49,1.05,1.14,2.59,3.94,2.18,2.32,2.13,2.98,2.81,3.69,3.64,3.71
c_0,1.41,1.3,1.39,1.11,1.28,1.31,2.8,3.32,4.23,2.62,5.04,3.34,4.14,4.27,3.43,3.81
g_1,1.22,1.36,1.34,1.12,2.13,1.16,2.06,2.62,3.05,4.64,2.89,3.97,3.2,3.49,3.14,2.96
b_0,1.43,1.63,1.34,0.97,1.39,1.08,2.49,3.65,2.77,2.53,4.44,2.89,5.61,3.97,3.13,4.17
f_0,1.43,1.61,1.15,1.31,1.24,1.45,2.92,3.39,3.01,2.18,3.36,4.62,3.27,3.91,5.22,3.33
a_0,1.66,1.54,1.48,1.32,1.19,1.08,2.93,3.27,2.5,2.64,2.55,3.07,5.08,4.34,3.4,3.38
h_0,1.78,1.47,1.18,1.39,1.28,1.33,1.8,3.16,2.65,3.17,3.14,2.79,3.09,2.87,3.41,4.04
e_0,1.68,1.31,1.14,1.42,1.47,1.3,3.02,2.65,2.89,2.7,2.88,2.73,3.27,3.68,5.11,4.12
g_0,1.19,1.32,1.12,1.36,1.89,1.34,2.7,2.91,2.78,2.13,2.89,4.27,3.16,3.73,3.83,2.97
