,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.44,2.11,1.4,1.47,1.42,1.22,2.54,2.64,3.26,3.09,3.18,2.63,3.66,3.08,2.44,3.89
e_1,1.37,2.47,1.89,1.34,1.5,1.37,2.93,3.24,5.14,3.28,3.49,3.48,3.98,3.21,2.76,4.4
c_1,1.46,1.25,2.56,1.68,2.22,1.51,2.77,2.83,2.71,1.93,2.5,3.12,4.16,3.07,3.48,3.95
d_1,1.56,1.53,1.22,2.58,1.56,1.37,2.88,2.52,2.4,4.96,3.94,3.34,4.07,3.86,3.65,3.67
b_1,1.54,1.41,1.37,1.37,2.75,2.61,2.94,2.93,3.3,3.53,2.4,3.36,3.7,3.12,3.61,4.04
a_1,1.72,1.59,1.48,1.73,1.19,3.32,3.22,2.94,3.14,3.33,3.58,3.13,4.01,2.73,3.14,3.24
h_1,1.86,1.45,1.53,1.72,1.51,1.31,4.14,3.71,3.16,3.37,3.32,3.04,3.77,3.35,3.49,5.79
g_1,1.5,1.18,1.6,2.26,1.43,1.55,2.67,4.63,3.07,3.36,3.38,4.73,3.88,3.96,4.36,3.74
d_0,1.48,1.27,2.62,1.29,1.7,1.49,2.89,3.01,4.18,2.46,3.38,3.31,4.54,3.08,3.7,4.92
c_0,1.79,1.54,1.58,1.48,1.27,1.72,3.3,2.95,3.69,4.31,5.52,3.43,4.47,4.13,3.97,3.92
b_0,1.79,1.53,1.87,1.53,1.2,1.47,3.09,3.06,3.26,2.99,4.57,3.22,4.79,5.62,3.51,4.58
f_0,1.45,1.29,1.87,1.54,1.56,1.75,3.51,2.92,3.72,3.37,3.09,4.77,4.53,2.77,6.25,4.28
h_0,1.95,1.63,1.56,1.6,1.53,1.5,2.16,3.8,3.06,3.23,3.09,3.6,3.85,3.5,3.0,5.2
a_0,1.68,1.68,1.6,1.51,1.61,1.56,3.19,2.51,2.77,3.36,3.11,3.47,4.47,5.15,2.98,4.24
e_0,1.88,1.22,1.6,1.48,1.72,1.73,3.13,3.25,3.5,3.0,3.41,3.35,5.11,3.69,5.33,4.59
g_0,1.44,1.32,1.59,2.07,1.62,1.63,2.65,3.08,2.79,3.59,3.21,4.45,4.11,3.39,3.72,3.6
