,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.46,1.83,0.93,1.08,1.12,0.9,2.05,2.31,2.3,2.38,2.67,1.53,2.26,2.42,1.69,2.7
e_1,1.02,2.47,1.06,1.29,1.08,1.21,2.25,2.36,4.04,2.41,2.62,2.79,2.68,3.31,1.7,3.05
d_1,1.34,1.03,2.6,0.92,1.09,1.01,2.26,3.96,1.35,1.82,2.84,2.72,3.08,3.31,2.86,3.18
c_1,1.1,1.02,1.15,2.62,1.9,0.93,1.98,1.33,1.97,1.96,1.87,2.75,2.37,2.46,2.52,2.23
b_1,1.16,1.08,1.27,0.95,2.7,1.93,1.98,2.29,2.5,2.24,1.46,2.09,1.87,3.31,2.46,3.51
a_1,1.4,0.88,1.31,1.32,0.86,3.15,2.51,2.41,2.49,2.24,2.48,2.33,1.54,3.49,3.02,3.33
h_1,1.61,1.22,1.21,1.31,1.12,1.07,3.99,2.64,2.75,2.74,2.91,2.72,2.87,2.5,2.78,4.18
c_0,1.32,1.34,1.29,1.09,1.07,1.25,2.52,3.8,2.6,2.66,4.52,2.6,3.35,3.37,2.89,3.66
d_0,1.25,1.05,1.02,2.18,1.28,1.17,2.26,2.07,3.78,2.44,2.6,2.89,2.44,3.36,2.92,3.16
g_1,1.03,0.99,1.86,1.36,1.15,1.09,2.23,2.37,2.37,4.37,2.45,3.89,3.01,3.5,2.79,2.8
b_0,1.18,1.29,1.31,1.45,0.81,1.18,2.5,2.39,2.72,2.7,3.99,3.0,5.0,3.55,2.65,3.7
f_0,1.03,1.08,1.27,1.37,1.46,1.35,2.72,2.66,2.48,2.07,2.37,4.34,2.6,3.44,5.34,3.17
a_0,1.51,1.24,1.38,1.21,1.24,1.05,2.7,2.62,3.2,2.21,2.25,2.46,4.59,3.96,2.73,3.72
h_0,1.61,1.26,1.28,1.3,1.09,1.38,1.67,2.77,2.97,2.75,2.9,2.53,2.54,2.59,2.98,4.02
e_0,1.6,0.8,1.14,1.39,1.34,1.31,2.7,3.02,2.6,2.65,3.2,2.2,3.21,4.02,5.04,4.18
g_0,1.18,1.16,1.75,1.44,1.0,1.18,2.32,2.85,2.52,1.67,2.46,3.68,2.41,2.93,2.8,2.49
