,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.66,1.6,1.42,1.36,1.34,1.26,0.61,0.74,0.44,0.6,0.5,0.48,0.36,0.48,0.42,0.3
e_1,1.39,0.66,0.93,1.51,1.52,1.34,0.79,0.65,0.75,0.56,0.62,0.56,0.49,0.52,1.02,0.49
f_1,1.3,1.6,0.65,1.37,1.39,1.62,0.44,0.54,0.7,0.44,0.64,0.43,0.29,0.43,0.39,0.38
c_1,1.74,1.21,1.48,0.65,1.56,1.31,0.59,0.33,0.66,0.76,0.46,0.45,0.49,0.48,0.45,0.52
b_1,1.6,1.59,1.89,1.0,0.62,1.55,0.79,0.51,0.65,0.69,0.5,1.14,0.48,0.56,0.59,0.5
a_1,1.71,1.64,1.69,2.14,1.04,0.58,1.08,0.69,0.9,0.72,0.71,0.82,0.7,1.14,0.75,0.57
h_1,2.17,2.05,2.67,2.3,1.97,1.65,0.57,0.81,1.37,0.72,0.81,0.82,0.95,0.71,0.66,0.69
d_0,3.47,1.46,2.47,2.73,2.69,2.06,1.1,0.65,0.99,0.75,0.75,0.86,0.72,0.65,0.74,0.78
g_1,2.8,2.27,2.36,2.5,2.6,1.91,0.75,1.03,0.55,0.93,0.88,0.89,0.67,1.01,0.85,0.77
c_0,1.5,2.67,2.53,3.94,2.32,1.78,1.25,1.24,1.09,0.62,0.99,1.31,0.79,0.89,0.91,0.81
f_0,2.22,2.41,3.81,2.57,2.61,1.94,1.26,0.94,0.82,0.88,0.61,0.91,0.74,0.7,0.93,0.47
b_0,2.19,2.28,2.83,3.51,3.01,2.04,1.13,1.09,1.02,0.51,0.87,0.61,0.74,1.14,0.84,0.64
h_0,2.78,2.35,3.48,2.47,2.81,2.18,1.48,1.0,1.09,0.89,0.89,0.87,1.02,0.83,0.82,0.75
a_0,2.55,2.75,3.03,3.02,3.29,3.94,1.31,1.32,0.97,1.0,1.05,0.6,1.01,0.58,0.92,0.81
e_0,2.81,3.75,4.2,3.18,2.56,1.97,1.41,1.24,1.04,1.0,0.6,1.02,0.82,0.89,0.57,0.87
g_0,3.05,2.85,3.44,2.5,2.31,2.57,1.12,1.08,1.85,0.92,1.27,1.16,0.77,0.97,0.91,0.96
