,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.14,5.77,10.28,12.31,13.5,9.56,2.87,2.12,3.22,2.12,2.25,3.08,1.8,1.39,16.5,1.58
f_1,11.02,1.14,12.5,11.08,10.54,10.18,1.92,2.32,3.82,1.96,1.78,9.19,2.42,1.07,2.34,1.85
d_1,14.77,11.65,1.14,12.9,9.66,14.63,3.44,10.03,2.19,2.24,2.74,1.82,2.55,1.79,1.82,1.05
c_1,10.15,13.78,14.5,1.15,12.1,10.52,3.98,1.37,3.57,9.33,2.54,2.29,2.4,1.96,2.54,1.73
b_1,13.47,15.29,15.57,8.22,1.15,14.87,4.32,3.4,5.12,4.08,13.17,3.29,3.25,2.63,2.54,1.71
a_1,21.86,30.45,23.85,16.56,12.15,1.15,6.34,4.5,8.55,4.78,5.57,4.82,18.09,3.15,3.1,4.04
h_1,26.94,30.71,22.42,27.46,27.54,22.57,1.89,5.53,7.07,4.63,4.25,4.23,4.95,8.63,4.91,4.73
d_0,17.08,42.64,93.42,35.31,35.22,49.29,12.58,2.69,9.29,6.84,5.87,5.73,8.85,5.16,6.98,7.04
g_1,35.42,38.97,35.03,42.84,31.98,35.34,9.23,6.86,1.92,6.84,5.93,6.32,6.82,3.71,6.15,14.39
c_0,41.58,34.19,16.98,119.0,45.61,34.05,12.4,10.19,9.03,2.71,8.57,7.16,7.43,5.67,7.89,6.76
b_0,31.88,45.3,36.96,44.62,,34.05,12.58,7.16,10.83,4.37,2.74,7.73,11.89,6.3,6.48,6.25
f_0,41.13,172.57,44.84,50.2,41.52,38.22,13.78,9.45,7.93,7.9,7.11,2.68,8.85,5.44,8.64,3.89
a_0,52.4,46.46,46.07,55.4,73.21,,14.97,11.85,13.54,10.1,5.62,8.12,2.6,7.63,11.71,10.03
h_0,56.25,53.29,50.19,55.4,57.96,60.42,43.4,11.64,12.75,10.27,11.25,9.02,11.89,26.47,9.31,9.19
e_0,201.32,82.36,38.66,58.42,47.15,58.53,18.47,15.9,14.77,12.32,14.59,5.6,13.0,10.73,2.95,10.34
g_0,61.69,82.36,60.05,53.55,89.74,81.43,18.08,15.16,38.24,12.32,15.0,10.36,18.09,6.51,11.34,23.64
