,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,1.11,0.94,1.12,1.02,1.02,1.05,1.41,0.97,1.09,0.96,0.96,1.06,1.25,1.14
f_1,1.25,1.0,1.01,0.93,0.98,0.84,0.85,1.08,0.97,0.85,0.96,0.9,0.94,0.85,0.75,0.99
c_1,0.91,1.01,1.0,1.1,1.26,0.91,1.03,1.01,0.71,0.9,0.99,0.91,0.97,1.02,1.03,0.93
d_1,1.06,1.09,0.92,1.0,0.92,0.98,1.0,0.84,0.98,1.28,1.03,1.03,1.12,1.04,0.99,0.82
b_1,0.9,1.01,0.8,1.09,1.0,1.41,1.06,1.02,1.05,1.12,0.99,1.18,0.92,1.09,1.01,1.1
a_1,0.97,1.18,1.09,1.0,0.72,1.0,1.13,1.01,1.03,1.06,0.98,1.22,1.03,1.11,1.09,1.1
h_1,0.97,1.19,0.96,0.99,0.95,0.85,1.0,1.18,0.94,0.91,0.92,0.95,0.89,1.0,0.88,1.12
g_1,0.94,0.96,0.99,1.23,0.99,0.97,0.87,1.0,0.88,0.91,1.15,0.97,0.97,0.91,0.93,0.99
d_0,0.72,1.01,1.41,1.04,0.96,0.93,1.06,1.13,1.0,0.84,0.97,1.04,1.07,0.93,1.07,1.11
c_0,1.04,1.12,1.07,0.8,0.9,0.92,1.12,1.05,1.12,1.0,1.0,1.31,1.08,1.05,0.92,1.13
f_0,0.92,1.08,1.08,1.01,0.96,0.93,1.04,0.84,1.03,0.92,1.0,1.08,1.0,1.1,1.51,0.81
b_0,1.05,1.1,1.11,0.98,0.87,0.78,1.04,1.05,0.89,0.75,0.92,1.0,1.43,0.96,0.83,1.03
a_0,1.02,1.05,1.08,0.92,1.05,0.97,1.09,1.08,0.95,0.92,1.0,0.73,1.0,1.03,1.17,0.98
h_0,0.93,1.14,1.04,0.95,0.93,0.84,1.04,1.13,1.09,0.96,0.87,1.01,0.97,1.0,0.96,1.12
e_0,0.85,1.29,1.0,0.95,0.99,0.9,1.13,1.01,0.98,1.06,0.69,1.1,0.86,1.04,1.01,0.95
g_0,0.89,1.0,1.08,1.2,0.95,0.89,0.88,1.0,0.92,0.94,1.24,1.01,0.97,0.87,1.12,1.0
