,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.91,0.35,0.26,0.35,0.28,0.16,0.3,0.24,0.48,0.25,0.25,0.26,0.27,0.18,0.13,0.22
f_1,0.6,0.91,0.28,0.27,0.22,0.15,0.29,0.22,0.29,0.22,0.17,0.25,0.28,0.18,0.1,0.18
d_1,0.31,0.38,0.9,0.24,0.25,0.2,0.3,0.23,0.17,0.5,0.24,0.3,0.29,0.19,0.21,0.22
c_1,0.32,0.34,0.28,0.9,0.47,0.17,0.31,0.22,0.27,0.16,0.22,0.17,0.29,0.14,0.15,0.23
b_1,0.31,0.34,0.26,0.29,0.9,0.35,0.29,0.24,0.27,0.25,0.27,0.18,0.29,0.14,0.18,0.2
a_1,0.34,0.37,0.3,0.3,0.25,0.88,0.29,0.24,0.32,0.27,0.27,0.27,0.36,0.14,0.14,0.22
h_1,0.33,0.48,0.36,0.27,0.29,0.19,0.62,0.35,0.27,0.29,0.27,0.28,0.23,0.2,0.22,0.3
g_1,0.32,0.33,0.49,0.32,0.26,0.19,0.28,0.6,0.26,0.31,0.43,0.29,0.32,0.2,0.24,0.22
d_0,0.33,0.36,0.2,0.61,0.31,0.19,0.31,0.25,0.53,0.2,0.27,0.28,0.28,0.18,0.19,0.26
c_0,0.38,0.43,0.32,0.23,0.21,0.26,0.36,0.28,0.33,0.48,0.29,0.57,0.34,0.27,0.27,0.29
f_0,0.3,0.33,0.38,0.35,0.29,0.21,0.35,0.31,0.31,0.32,0.51,0.33,0.37,0.21,0.46,0.27
b_0,0.4,0.43,0.34,0.36,0.19,0.16,0.35,0.28,0.3,0.26,0.35,0.5,0.35,0.43,0.22,0.3
h_0,0.36,0.52,0.34,0.34,0.29,0.18,0.28,0.35,0.26,0.25,0.29,0.26,0.23,0.18,0.2,0.34
a_0,0.35,0.45,0.37,0.3,0.31,0.1,0.37,0.28,0.27,0.29,0.34,0.27,0.41,0.43,0.25,0.3
e_0,0.28,0.38,0.37,0.36,0.32,0.21,0.37,0.32,0.28,0.29,0.25,0.31,0.32,0.21,0.44,0.26
g_0,0.3,0.32,0.5,0.33,0.29,0.21,0.37,0.25,0.27,0.29,0.42,0.26,0.33,0.19,0.24,0.21
