,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.93,4.61,2.53,3.07,2.3,2.75,9.54,10.07,11.85,14.44,13.69,10.0,20.84,9.44,12.93,18.5
e_1,2.97,6.15,2.46,3.72,2.77,2.46,10.64,10.82,11.4,23.44,14.24,14.26,21.31,11.71,14.56,20.88
d_1,2.97,2.59,6.29,2.32,2.95,3.07,10.67,9.92,23.01,8.97,16.49,13.69,20.18,16.26,14.4,19.42
c_1,2.86,2.53,2.48,7.35,4.89,3.19,9.91,10.48,7.64,13.1,10.16,13.31,19.49,12.02,12.92,20.81
b_1,3.14,2.46,2.72,2.71,7.52,5.28,10.49,10.02,13.04,12.63,10.34,13.69,20.22,13.79,12.8,19.75
a_1,3.26,2.64,2.97,2.95,3.02,11.94,11.82,8.78,14.11,11.39,14.52,11.03,20.35,15.94,11.95,20.74
h_1,3.66,3.0,3.09,3.04,2.96,2.95,18.44,12.6,11.88,12.95,12.94,14.57,17.66,14.02,17.53,31.07
g_1,2.64,2.45,4.04,3.01,2.99,2.93,11.1,21.42,14.17,11.3,14.56,20.69,20.13,15.88,16.77,20.87
c_0,3.1,3.34,3.22,2.7,2.41,2.98,11.76,12.19,20.47,15.4,27.23,15.9,24.75,17.01,20.44,26.48
d_0,3.05,2.97,2.44,5.43,3.35,2.76,11.05,10.13,9.05,20.92,13.58,13.65,21.43,15.18,14.26,24.53
b_0,3.06,3.08,3.25,3.33,2.45,2.85,11.17,11.96,13.98,15.42,22.16,15.22,25.54,18.35,32.15,25.2
f_0,2.19,2.31,3.67,3.48,3.49,3.33,11.55,13.17,15.78,14.47,16.13,22.86,26.14,30.61,18.19,26.21
h_0,3.59,3.22,3.31,3.52,2.7,2.73,8.93,15.0,14.28,13.63,15.08,13.17,17.3,13.01,14.74,27.96
e_0,3.44,2.59,3.38,3.14,3.08,3.48,11.76,12.48,15.01,12.88,15.98,12.16,27.19,30.0,18.46,27.55
a_0,3.12,3.02,3.46,3.02,2.71,2.41,11.39,12.22,16.14,13.11,16.13,17.1,25.92,16.55,29.91,26.78
g_0,2.56,2.79,4.34,3.35,3.02,3.11,9.78,11.48,14.41,11.53,16.71,20.77,23.06,19.17,17.59,17.83
