,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,3.66,4.02,3.14,3.62,3.92,1.59,2.25,1.64,1.56,1.7,,1.13,1.53,1.52,1.19
e_1,2.69,0.41,4.34,3.8,4.27,2.67,2.14,2.91,1.48,1.51,1.49,2.05,1.09,1.55,,1.29
c_1,3.2,3.5,0.4,4.23,3.68,4.98,2.15,1.85,1.11,,1.73,1.25,1.23,1.38,1.84,1.49
d_1,3.5,4.19,3.02,0.4,4.19,2.98,1.62,1.38,,1.83,2.02,1.55,1.59,1.63,1.76,0.83
b_1,3.62,3.11,2.66,3.03,0.37,5.2,1.67,1.76,1.82,2.1,,1.83,1.47,1.28,1.45,1.51
a_1,3.92,4.71,2.91,3.87,2.18,0.3,2.41,2.23,2.01,1.44,1.72,1.42,1.43,,1.5,1.16
h_1,1.92,1.63,1.69,2.03,1.83,1.51,0.27,0.99,0.83,0.76,0.91,0.72,,0.77,0.81,0.74
g_1,2.05,1.75,1.85,2.18,1.83,1.78,0.86,0.24,0.85,0.74,0.75,0.83,0.48,,0.95,
d_0,1.68,1.17,1.83,,1.52,1.44,0.81,0.89,0.29,0.82,0.73,0.62,0.59,0.8,0.58,0.59
c_0,1.64,1.63,,1.1,1.34,1.58,0.8,1.0,0.69,0.28,0.83,0.58,0.71,0.78,0.61,0.67
b_0,1.6,1.49,1.43,1.28,,1.61,0.88,0.81,0.87,0.46,0.27,1.21,0.6,0.69,0.75,0.91
f_0,,1.71,1.66,1.73,1.53,1.68,1.03,0.5,0.59,0.89,0.6,0.25,0.67,,0.76,0.55
h_0,1.15,1.65,1.26,1.11,1.54,1.43,,0.91,0.51,0.48,0.53,0.55,,0.61,0.52,0.47
a_0,1.59,1.69,2.27,1.63,1.5,,0.88,,0.91,0.73,0.49,,0.58,0.22,,0.59
e_0,2.0,,1.42,1.44,1.72,1.5,0.81,0.72,0.95,0.77,0.63,0.5,0.72,,0.21,0.52
g_0,1.5,1.33,1.27,2.14,1.17,1.6,0.48,,0.52,0.59,0.49,0.67,0.38,0.8,0.66,
