,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.18,1.51,1.56,1.65,1.86,1.95,0.34,0.69,0.29,0.28,0.32,0.94,0.36,0.18,0.25,0.28
e_1,0.93,0.17,1.79,1.93,1.88,1.86,0.5,0.51,0.32,0.38,0.4,0.4,0.3,0.25,1.68,0.31
d_1,2.0,1.76,0.16,2.16,1.52,1.34,0.49,0.3,0.35,1.49,0.3,0.28,0.3,0.19,0.34,0.15
c_1,1.59,1.56,1.44,0.15,2.0,1.44,0.47,0.55,1.74,0.2,0.39,0.36,0.3,0.26,0.29,0.28
b_1,1.81,1.86,2.03,0.78,0.13,1.58,0.53,0.56,0.44,0.4,0.99,0.29,0.42,0.23,0.33,0.23
a_1,1.87,2.04,1.58,1.75,0.93,0.09,0.47,0.4,0.33,0.35,0.62,0.35,,0.31,0.4,0.25
h_1,0.97,1.02,1.06,0.92,0.74,0.89,0.07,0.27,0.2,0.21,0.19,0.21,0.18,0.48,0.2,0.13
g_1,1.07,0.78,0.95,1.08,0.96,1.15,0.23,0.05,0.22,0.19,0.17,0.22,0.15,0.11,0.2,0.4
c_0,1.06,0.89,0.52,2.87,0.91,0.96,0.31,0.22,0.07,0.21,0.19,0.21,0.18,0.15,0.17,0.13
d_0,0.85,0.5,2.52,1.14,0.97,0.99,0.28,0.31,0.19,0.07,0.15,0.17,0.22,0.14,0.24,0.14
b_0,0.85,0.87,0.88,1.03,1.89,1.33,0.26,0.27,0.08,0.19,0.06,0.15,0.21,0.16,0.25,0.15
f_0,2.25,0.87,0.96,0.94,0.68,1.02,0.26,0.18,0.19,0.17,0.16,0.06,0.16,0.13,0.18,0.07
a_0,0.92,0.78,0.9,0.95,1.02,,0.22,0.27,0.19,0.18,0.11,0.18,0.05,0.16,0.31,0.11
h_0,0.92,0.96,0.9,0.87,0.99,0.94,0.47,0.26,0.19,0.18,0.14,0.19,0.15,0.32,0.15,0.15
e_0,1.33,2.98,0.74,0.87,0.74,0.76,0.22,0.19,0.2,0.21,0.19,0.1,0.19,0.13,0.04,0.12
g_0,1.09,1.07,0.84,0.8,1.03,0.67,0.18,0.58,0.19,0.2,0.16,0.18,0.21,0.12,0.17,0.37
