,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.39,0.43,0.49,0.39,0.38,0.55,0.53,0.6,0.99,0.6,0.6,0.6,0.41,0.26,0.65
f_1,0.77,1.51,0.51,0.46,0.36,0.3,0.49,0.46,0.56,0.52,0.58,0.28,0.51,0.42,0.36,0.43
d_1,0.48,0.5,1.52,0.4,0.37,0.33,0.67,0.49,0.85,0.29,0.61,0.61,0.53,0.41,0.45,0.48
c_1,0.51,0.48,0.38,1.55,0.75,0.27,0.48,0.57,0.23,0.5,0.54,0.48,0.61,0.51,0.45,0.52
b_1,0.45,0.61,0.49,0.42,1.62,0.75,0.48,0.48,0.55,0.53,0.21,0.43,0.53,0.4,0.43,0.45
a_1,0.5,0.47,0.6,0.6,0.34,1.8,0.78,0.55,0.57,0.72,0.5,0.59,0.94,0.25,0.43,0.73
h_1,0.69,0.99,0.75,0.73,0.71,0.4,1.66,0.91,0.85,0.72,0.92,0.64,0.49,0.78,0.66,1.12
g_1,0.57,0.68,1.19,0.61,0.69,0.52,0.82,1.75,0.96,0.69,0.71,1.22,0.96,0.78,0.71,0.62
c_0,0.76,0.87,0.8,0.56,0.6,0.66,0.88,0.88,1.49,0.91,1.35,0.92,1.05,0.82,0.78,1.03
d_0,0.59,0.8,0.3,1.37,0.71,0.54,0.91,0.78,0.88,1.5,0.81,0.98,0.91,0.87,0.85,0.95
b_0,0.87,0.86,0.72,0.73,0.51,0.55,0.9,0.87,0.83,1.02,1.55,0.99,1.18,1.43,1.05,0.92
f_0,0.66,0.44,0.85,0.93,0.66,0.59,1.07,0.78,1.0,1.06,1.0,1.59,1.09,1.02,1.63,0.78
h_0,0.75,1.18,0.91,0.74,0.74,0.48,0.7,1.01,0.84,0.92,0.76,0.92,0.62,0.8,0.92,1.18
a_0,0.97,0.88,1.09,0.78,0.79,,0.76,0.76,0.93,0.77,0.69,0.75,1.13,1.61,0.86,0.85
e_0,0.45,0.97,0.9,0.91,0.85,0.67,0.96,0.93,1.08,1.07,0.98,0.85,0.98,1.0,1.71,1.25
g_0,0.65,0.92,1.11,0.76,0.88,0.48,0.88,0.61,0.83,0.98,0.98,1.33,0.93,0.96,0.69,0.66
