,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.08,2.36,1.47,2.44,2.76,2.09,0.7,0.72,0.52,0.49,0.62,0.51,0.37,0.7,0.51,0.35
d_1,2.87,1.08,2.49,2.48,2.2,2.06,0.59,0.42,0.67,0.46,0.45,0.44,0.31,0.41,0.43,0.23
f_1,2.59,2.33,1.09,2.52,2.28,1.97,0.55,0.82,0.58,0.5,0.71,0.47,0.26,0.48,0.47,0.38
c_1,2.29,3.6,2.75,1.1,2.87,2.38,0.77,0.8,0.35,0.71,0.52,0.54,0.39,0.5,0.52,0.36
b_1,2.94,3.37,3.84,1.87,1.11,3.36,0.89,0.88,0.61,0.91,0.7,0.92,0.49,0.63,0.56,0.49
a_1,4.75,4.29,5.35,3.87,2.2,1.12,1.31,1.26,0.98,1.01,0.86,1.32,0.58,0.79,1.39,0.67
h_1,9.75,9.28,10.15,10.33,8.81,8.57,1.52,2.61,2.22,2.02,2.17,2.17,1.7,1.93,1.87,1.25
g_1,9.73,9.69,11.44,10.3,10.0,9.55,2.62,1.56,2.3,2.14,1.98,2.2,1.15,1.82,2.0,1.6
d_0,7.49,17.9,11.14,11.45,11.24,11.65,3.95,3.96,1.8,2.92,2.36,2.42,1.72,2.35,2.51,1.84
c_0,12.78,7.66,13.6,17.2,11.99,10.95,3.89,3.11,3.88,1.78,2.61,2.55,1.85,2.55,2.55,1.79
f_0,11.95,13.69,19.23,13.62,13.34,13.52,4.03,2.58,2.96,3.0,1.85,3.12,2.09,2.96,2.41,1.35
b_0,15.0,10.55,13.14,19.24,16.2,12.07,4.27,3.76,3.79,1.76,2.98,1.8,1.82,2.64,2.35,2.05
h_0,18.26,18.18,22.06,17.8,18.02,15.27,6.38,5.15,3.84,3.49,3.55,3.77,3.61,3.29,3.06,2.16
e_0,21.93,19.59,29.93,20.39,19.03,16.79,5.66,4.57,4.27,4.22,2.46,4.42,2.49,2.19,3.78,2.15
a_0,20.59,18.56,22.06,28.51,26.16,25.19,6.6,6.45,5.84,3.27,4.28,2.47,2.93,3.85,2.17,2.96
g_0,23.91,23.95,26.48,27.74,22.3,22.39,5.43,7.53,5.42,5.16,4.52,5.15,2.77,4.43,3.91,4.21
