,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.66,1.94,2.23,1.97,2.6,1.35,1.08,1.03,0.47,1.15,0.89,0.75,0.64,0.71,0.59,0.55
f_1,2.09,0.66,2.15,2.39,1.82,1.87,0.68,1.17,0.72,0.71,1.22,0.64,0.49,0.56,0.62,0.73
d_1,2.33,1.86,0.65,2.4,2.5,2.09,0.92,0.66,1.58,0.83,0.66,0.77,0.68,0.86,0.61,0.41
e_1,2.12,1.39,2.49,0.65,2.08,2.2,0.99,0.93,0.89,0.8,0.81,0.74,0.68,2.46,0.69,0.65
b_1,1.28,2.58,2.12,2.18,0.64,2.74,1.32,1.09,0.97,0.98,0.72,2.05,0.58,0.67,0.88,0.6
a_1,4.12,3.57,2.87,2.49,1.38,0.57,0.99,1.31,0.99,1.04,0.77,1.09,0.73,1.08,1.73,0.85
h_1,2.38,2.88,2.48,2.85,2.19,2.62,0.6,1.17,1.2,0.97,0.98,1.08,1.46,0.62,0.84,0.92
g_1,2.92,2.57,2.91,2.82,3.03,2.35,1.16,0.58,1.02,0.96,1.27,0.89,0.59,1.1,1.19,1.24
d_0,3.63,3.77,4.5,1.63,2.71,2.42,1.42,1.35,0.68,1.02,1.3,0.89,0.81,1.1,1.1,0.9
c_0,6.63,3.33,1.81,3.09,2.95,2.71,1.33,1.28,1.27,0.65,1.03,1.19,1.01,1.24,1.36,0.98
f_0,2.89,6.68,3.05,2.95,3.04,3.23,1.29,0.9,1.23,1.04,0.63,1.2,0.97,1.27,1.41,0.73
b_0,3.76,3.09,2.56,3.02,5.48,3.27,1.3,1.5,1.14,0.68,0.91,0.64,0.94,1.04,1.98,0.87
h_0,3.41,3.91,3.5,2.92,3.66,3.33,2.67,1.88,1.43,1.22,1.46,1.12,1.48,1.09,1.32,1.09
e_0,3.53,6.34,2.77,,3.63,2.43,1.89,1.17,1.31,1.01,0.77,1.16,1.31,0.57,1.24,1.13
a_0,4.3,3.52,3.64,3.6,3.48,,1.64,1.35,1.33,1.0,1.18,0.65,0.9,1.05,0.6,1.07
g_0,3.97,3.94,3.96,2.92,4.17,2.99,1.35,2.22,1.39,1.05,1.41,1.2,0.89,1.15,1.07,1.57
