,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.55,0.89,0.91,1.24,1.0,0.89,1.22,1.06,1.82,1.16,1.28,1.21,1.24,1.01,0.95,1.14
d_1,1.05,1.56,1.16,0.88,0.91,0.86,1.22,1.04,1.01,1.72,1.32,1.18,1.16,1.18,1.0,1.12
f_1,1.47,0.9,1.56,0.98,0.89,0.8,0.95,1.07,1.2,1.17,1.15,1.0,1.22,1.05,0.86,1.21
c_1,0.96,1.12,1.07,1.58,1.51,0.74,1.14,1.07,0.96,0.95,0.85,0.9,1.22,0.99,0.92,1.13
b_1,1.01,1.05,1.11,0.88,1.61,1.42,1.34,1.2,1.23,1.24,0.9,1.13,1.28,0.83,0.94,1.15
a_1,1.03,1.21,1.16,1.18,0.92,1.75,1.19,1.4,1.35,1.35,1.44,1.35,1.46,1.09,1.17,1.23
h_1,1.18,1.32,1.61,1.26,1.08,1.08,1.88,1.75,1.46,1.43,1.49,1.34,1.49,1.18,1.24,1.61
g_1,1.2,1.71,1.24,1.26,1.14,0.96,1.23,1.91,1.22,1.56,1.43,1.78,1.51,1.26,1.37,1.23
d_0,1.11,1.21,1.33,2.02,1.3,0.95,1.44,1.61,1.8,1.18,1.5,1.38,1.67,1.28,1.26,1.39
c_0,1.31,1.24,1.37,1.19,1.07,1.09,1.57,1.51,1.69,1.84,2.36,1.72,1.69,1.63,1.5,1.45
b_0,1.16,1.34,1.39,1.5,1.26,1.07,1.5,1.57,1.57,1.3,1.89,1.75,1.67,2.04,1.42,1.6
f_0,1.17,1.43,1.34,1.54,1.22,1.02,1.73,1.52,1.71,1.46,1.48,1.9,1.77,1.39,2.34,1.33
h_0,1.35,1.54,1.76,1.37,1.35,0.97,1.33,1.69,1.52,1.52,1.57,1.37,1.52,1.45,1.33,1.81
a_0,1.41,1.31,1.5,1.5,1.52,0.85,1.75,1.73,1.62,1.49,1.56,1.69,1.84,1.92,1.42,1.6
e_0,1.3,1.61,1.63,1.53,1.37,0.91,1.73,1.5,1.67,1.61,1.65,1.3,1.93,1.55,1.97,1.58
g_0,1.31,1.79,1.44,1.45,1.36,1.15,1.6,1.47,1.6,1.71,1.65,2.05,1.82,1.55,1.67,1.57
