,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.51,1.3,0.99,0.79,0.76,0.66,0.92,1.07,0.86,0.92,0.92,0.68,0.96,0.68,0.87,0.89
e_1,0.93,1.51,1.01,0.72,0.82,0.7,1.06,1.71,1.11,1.0,1.06,1.14,1.17,0.76,0.97,1.04
c_1,0.89,0.88,1.55,0.94,1.34,0.8,1.02,0.84,0.94,0.6,0.77,0.88,0.93,0.82,0.73,0.99
d_1,1.05,1.03,0.77,1.61,0.79,0.64,1.17,0.89,0.86,1.73,1.2,0.98,1.15,0.99,1.04,0.97
b_1,0.97,0.92,0.81,0.95,1.62,1.4,0.95,1.08,0.84,1.13,0.75,1.03,1.18,0.97,0.72,1.02
a_1,1.15,1.0,0.94,1.03,0.71,1.74,1.21,1.2,1.03,1.02,1.25,1.11,1.4,1.05,0.9,1.28
h_1,1.47,1.12,1.15,1.05,1.09,0.78,1.81,1.23,1.37,1.24,1.14,1.23,1.07,1.19,1.0,1.44
d_0,1.33,0.95,1.86,0.96,1.14,0.78,1.45,1.73,1.37,1.0,1.19,1.08,1.46,1.28,1.18,1.32
g_1,1.26,0.95,1.16,1.61,1.15,0.92,1.31,1.15,1.91,1.36,1.25,1.7,1.25,1.28,1.05,1.18
c_0,1.46,1.26,1.2,1.02,0.83,0.93,1.41,1.5,1.3,1.78,2.28,1.39,1.41,1.19,1.46,1.27
b_0,1.51,1.25,1.37,1.16,1.01,0.76,1.53,1.55,1.35,1.14,1.81,1.27,1.41,1.27,2.01,1.38
f_0,1.19,1.0,1.42,1.25,1.18,1.03,1.41,1.56,1.23,1.28,1.4,1.83,1.55,2.06,0.97,1.3
h_0,1.61,1.21,1.42,1.17,1.23,0.89,1.3,1.34,1.55,1.39,1.35,1.22,1.27,1.26,1.06,1.71
e_0,1.56,1.02,1.54,1.18,1.23,1.11,1.68,1.28,1.31,1.41,1.22,1.24,1.55,1.87,1.15,1.44
a_0,1.41,1.3,1.43,1.06,1.31,0.84,1.56,1.52,1.53,1.3,1.22,1.48,1.78,1.42,1.88,1.51
g_0,1.2,1.19,1.37,1.63,1.25,0.93,1.44,1.46,1.22,1.49,1.46,1.95,1.41,1.42,1.2,1.31
