,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,13497.81,178.09,156.48,245.86,622.09,968.58,239470.53,408069.6,680840.91,,1741645.15,974999.94,10379373.51,5038973.88,5083986.06,12276330.6
f_1,206.7,13773.14,272.33,358.53,280.62,1296.65,209743.37,374598.78,543366.57,909544.96,,1900289.59,8188153.43,3571285.86,6125418.68,10499843.57
d_1,166.13,136.55,15752.92,150.9,288.18,1414.83,199636.25,420761.34,,1895595.86,1690177.52,2483742.36,7389608.56,5195695.52,6640003.04,13126968.04
e_1,160.56,192.74,154.11,17647.07,294.91,1618.19,155909.98,295256.28,1326280.07,534158.79,1621525.26,1512924.95,12255792.96,,,16311933.27
b_1,169.9,210.13,144.01,202.02,27204.51,3249.8,193420.83,335305.99,803296.97,858199.4,1708889.0,,7391461.14,8183508.3,7408013.97,8891782.53
a_1,239.43,154.73,158.13,208.78,305.48,243688.08,127205.67,332667.51,684901.2,807733.71,1735635.67,1431884.26,9695467.19,,,12162427.94
h_1,530.27,1119.43,767.2,693.59,736.72,7584.82,8868052.16,1810148.57,2425070.59,3810022.56,5860075.57,6092470.64,,14532450.78,22156313.58,74306915.02
g_1,582.59,440.33,1232.26,818.48,912.84,7004.75,589565.79,20292718.23,2356708.65,3725288.38,8890989.21,6083383.21,25021190.57,32869102.66,22877467.83,
d_0,1777.77,883.11,,1254.45,1130.96,10124.98,798923.62,1706294.63,20347717.37,4177785.36,8299888.24,7793971.45,32291755.31,,35430141.08,71294472.51
c_0,,961.03,1157.06,799.11,1282.04,6427.38,956358.57,1657901.82,2482410.78,31824894.34,8158144.42,17289567.88,42169233.4,,38556330.0,74998989.22
f_0,667.25,,1217.23,986.61,2103.97,12557.24,924787.56,1511561.88,2489622.26,5526813.25,59437909.36,10781604.68,25631355.28,51878413.67,,64842123.61
b_0,593.48,1029.45,1141.3,1047.97,,6957.31,844576.4,1700723.05,4282796.94,4946497.86,5094677.94,64266861.69,63904461.14,33410796.36,,63309491.59
h_0,1152.52,1743.69,1019.02,1663.45,3042.35,15051.87,,3313096.85,5270816.69,6624773.92,10007403.11,12223198.55,,47378755.34,75243858.29,96902283.05
e_0,741.85,841.06,768.55,,1909.62,,1689152.79,1395795.43,,,8491129.91,11619583.8,45515997.96,368501430.44,,62807035.31
a_0,1185.35,1079.89,986.79,,1023.4,,1253094.33,1764584.19,3137551.37,4284500.53,,,39739918.87,,384725118.92,94620164.07
g_0,1616.25,916.19,2354.65,1879.17,2080.22,11335.89,1124479.24,,5253840.0,6949330.57,13874555.21,9205559.71,61977835.84,38655481.46,61201229.29,
