,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,10.42,11.16,10.26,11.19,11.92,1.84,3.36,2.22,2.02,1.58,9.63,1.03,1.54,1.98,1.75
e_1,6.06,1.14,12.37,12.99,10.2,9.73,4.34,3.24,2.14,2.24,2.2,3.27,1.8,2.16,7.85,1.9
d_1,12.89,15.89,1.14,11.42,12.67,9.94,2.91,1.87,8.43,2.98,2.5,2.32,1.71,2.98,2.86,1.01
c_1,16.08,12.41,13.53,1.14,11.8,12.89,4.49,3.97,1.38,7.16,3.09,2.39,1.82,2.66,2.69,1.88
b_1,17.08,12.71,13.76,7.84,1.15,15.9,3.87,7.55,2.94,3.26,19.75,2.77,2.76,3.33,3.58,1.98
a_1,23.05,22.21,22.16,30.88,9.44,1.15,7.24,6.1,5.36,4.63,4.89,4.26,3.25,30.23,4.86,3.6
h_1,24.38,30.22,20.38,23.28,28.9,23.56,1.89,7.24,6.24,4.7,4.57,4.52,7.37,5.54,4.45,4.96
g_1,39.86,38.01,30.02,29.96,34.25,47.7,6.4,1.89,7.46,6.1,6.66,5.36,3.07,5.04,4.86,5.9
d_0,34.17,15.56,110.07,40.35,51.37,34.07,14.35,13.25,2.74,5.81,7.37,5.53,5.52,8.02,5.59,6.58
c_0,37.16,32.63,21.17,189.12,39.07,30.29,11.41,10.97,9.14,2.69,6.83,6.75,6.23,9.14,5.95,4.89
b_0,35.44,36.5,35.89,46.55,132.1,42.4,11.71,14.94,6.76,3.95,2.75,7.88,5.33,7.15,5.35,6.45
f_0,109.34,33.52,38.4,39.3,44.03,59.62,13.48,7.02,9.01,7.6,7.9,2.61,6.31,10.08,6.25,3.8
h_0,50.36,48.51,43.45,44.5,63.05,46.54,38.7,15.6,11.8,9.62,10.63,9.29,20.09,10.08,9.0,6.71
a_0,53.9,56.72,45.86,53.09,110.96,,16.79,16.33,11.59,9.33,5.53,9.45,7.75,2.71,12.3,9.77
e_0,67.14,108.44,61.15,55.02,56.61,46.54,17.8,13.0,13.81,10.27,12.02,5.0,8.04,17.86,2.71,10.69
g_0,68.34,63.57,61.15,73.8,74.97,51.57,13.48,39.0,15.09,12.32,13.17,12.38,7.75,17.09,11.18,31.09
