,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,16.98,1.29,0.42,0.48,0.52,0.42,0.87,0.83,0.78,0.86,1.02,0.34,0.82,0.72,0.54,0.73
e_1,0.57,17.69,0.45,0.63,0.47,0.52,0.92,0.82,2.16,0.91,1.01,1.03,0.98,1.09,0.36,0.9
d_1,0.62,0.42,21.33,0.37,0.52,0.48,0.9,2.42,0.26,0.79,1.25,1.06,1.34,1.1,1.12,1.19
c_1,0.46,0.46,0.48,21.07,1.26,0.43,0.76,0.28,0.84,0.76,0.62,1.15,0.83,0.68,0.95,0.63
b_1,0.53,0.46,0.63,0.52,21.0,1.21,0.66,0.72,0.92,0.83,0.28,0.75,0.59,0.99,0.98,1.05
a_1,0.67,0.34,0.65,0.62,0.44,31.25,1.03,0.85,0.85,0.88,0.94,0.85,0.35,1.24,1.17,1.09
h_1,1.04,0.65,0.68,0.72,0.5,0.58,5.59,1.11,1.12,1.35,1.38,1.22,1.3,0.59,1.26,1.77
c_0,0.74,0.72,1.0,0.4,0.49,0.67,1.2,3.09,0.92,1.25,2.91,1.07,1.52,1.26,1.32,1.43
d_0,0.64,0.67,0.34,1.93,0.67,0.6,1.04,0.69,2.98,1.06,1.06,1.24,0.97,1.26,1.24,1.01
g_1,0.48,0.46,1.37,0.77,0.57,0.58,1.05,0.98,0.88,6.76,1.02,2.18,1.3,1.43,1.22,0.72
b_0,0.63,0.75,0.83,0.73,0.26,0.64,1.27,1.23,1.07,1.28,3.57,1.34,3.02,1.33,1.17,1.41
f_0,0.36,0.54,0.74,0.88,0.79,0.77,1.42,1.08,0.98,1.07,0.97,4.33,0.95,1.24,3.64,1.36
a_0,0.9,0.68,0.95,0.64,0.58,0.4,1.43,1.21,1.37,1.04,1.16,0.95,4.33,1.58,1.14,1.31
h_0,0.97,0.72,0.75,0.65,0.57,0.85,0.51,1.25,1.32,1.46,1.34,1.08,1.08,0.66,1.46,1.57
e_0,0.81,0.25,0.64,0.83,0.81,0.82,1.4,1.46,1.06,1.35,1.55,1.16,1.4,1.8,5.71,1.83
g_0,0.55,0.59,1.4,0.76,0.5,0.68,1.2,1.37,0.96,0.56,1.08,2.14,0.97,1.08,1.33,0.61
